"additionalInfo","object_uri","title","imageUrl","artist_uri","dimensions","technique_uri","technique","ethnicity_uri","enthnicity","artist_appellation_uri","artist","provenance"
"Sheet music written by Mort Dixon and Harry Woods; drawing of elderly African American male facing a river next to a cabin; photo of Julian Woodworth in bottom right quadrant.","","""River, Stay 'Way From My Door""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CRiverStay+copy%2Ejpg","","12.25"" x 9.25""","","Rotogravure","","American","","Shapiro, Bernstein & Co., Inc. Music Publishers","Gift of Edward T. Garcia"
"Four member African American band photographed playing their instruments (keyboards, saxophone, drums and trumpet) in suits and ties.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAllen+Family%5CBlue+Melody+Boys%2Ejpg","","8"" H x 10"" W","","Gelatin silver print","","African American","","Sheffield","Gift of Gail M. Long of Hesperia, California"
"Bundu-style helmet mask. Female face with small open slit eyes with three vertical scarification marks below eyes; carving with Loma influence; five-lobed, crested hairstyle with crescent braid at top; braided detail on back.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPorter%2DWesley%5CBundu%5F29%2E11%2Ejpg","","20"" x 7½""","","Wood","","","","Sierra Leone","Gift of Dorothy B. Porter-Wesley"
"An engraving on newsprint that shows four black men acting on a rickety wooden stage. They are all dressed in European influenced costumes. Offstage another black male can be seen reading from a book.","","The English Mania for Private Theatricals Invades Blackville","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHarper%27s+Weekly%5CEnglishMania+copy%2Ejpg","","15.75 H x 10.75 W","","engraving on newsprint","","African American","","Sol Eytinge, Jr.","Gift of Friends, The Foundation of the California African American Museum"
"flag, South African (pre-apartheid)","","South African flag","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLoans%5CSAFRICA2%2EBMP","","","","fabric banner","","South African","","South African","Courtesy of South African Consulate General"
"flag, South African (post-apartheid)","","South African flag","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLoans%5CSAFRICA%2EBMP","","44"" H x 72"" W","","fabric banner","","South African","","South Africans","Courtesy of South African Consulate General"
"Official program booklet celebrating the first anniversary of the assassination of Martin Luther King, Jr. held at the Shrine Auditorium in Los Angeles.","","First Anniversary Memorial Service and Celebration Commemorating the Life and Works ofDr. Martin Luther King, Jr.","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CShrine%5FMLK%2Ejpg","","11"" H x 8.5"" W","","Rotogravure","","African American","","Southern Christian Leadership Conference","Gift of Eunice P. Carter and Margaret E. Pendergrass"
"Stereo card showing African American boy with a hammer and wrench scratching his head with a bicycle tire in front of him. Cat and man with a hat in background.","","""How de Debble Does Dey Make a Bicycle?""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CBicycle%2Ejpg","","3.5"" H x 7"" W","","Stereograph","","African American","","Strohmeyer & Wyman Publishers","Gift of Paul Kiler"
"Black and White hands grasped in a handshake with ""SNCC"" lettering beneath.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CParman%5FSNCC%2Ejpg","","1"" diameter","","Coated metal","","African American","","Student Nonviolent Coordinating Committee","Gift of Alice Parman"
"woodcut print of Frederick Douglass","","Frederick Douglass","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CF%2E+Douglass%2Ejpg","","41 x 25""","","Wood block print on paper","","African American","","Sue Jane Mitchell Smock","Gift of Sam Jaffee and Mildred Jaffee"
"Large scale work of white bird (crane ?) and shadow of fox-like animal behind it. Spots of bright primary colors, blue, yellow and red, in work.","","Animal","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSuzanne%5FJackson%5CAnimal%5FJackson%2Ejpg","","80"" x 80""","","Oil on canvas","","African American","","Suzanne Fitzallen Jackson","Gift of Joan D. Payne"
"Three faces in right side profile silhouette, one beige, one reddish, and one purple. The two faces at left are semi-concealed with a transparent wash in the shape of aheart. The right face appears to be kissing a large golden bird (crane?) in flight.","","Passages","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CSuzanne%5FJackson%5CJackson%5FPassages+copy%2Ejpg","","48 x 144""","","Acrylic paint and wash on canvas","","African American","","Suzanne Fitzallen Jackson","Gift of Jamesina E. Henderson"
"Sketch of bird incorporated into a heart-shaped object.","","Warbling Vireo","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSuzanne%5FJackson%5CJackson%5FWarblingVireo%2Ejpg","","16"" H x 16"" W","","Ink on paper","","African American","","Suzanne Fitzallen Jackson","Gift of Allison Banks Herbert"
"Sheet music; published by permission of Victor Kremer Co. Chicago Music Section, Chicago Sunday Examiner, May 26, 1907-Pages 17-20.","","""Take Me Back To Dear Old Dixie"" sheet music","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CTakeMeBackToDixie%2Ejpg","","14"" x 11""","","Rotogravure on newsprint","","African American","","Tell Taylor and Harry A. Ellis","Gift of Odvar and Zeta Holm"
"Business card advertising King Hotel with 115 newly decorated rooms, 75 with bath.","","King Hotel, Central at 42nd Place  Los Angeles 11, Calif.","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFICitems%5CKIngHotel%2Ejpg","","2.625"" x 4""","","business card","","African American","","The Kings","Collection of California African American Museum"
"Seventy-six page limited edition book containing (6) short stories: ""Bone of Contention, Magnolia Flower, High John De Conqueror, The Conscience of the Court, Mother Catherine and Now You Cookin' with Gas"". Each of the six stories is accompanied by an original illustration executed in serigraph.","","Bookmarks in the Pages of Life: Six short stories by Zora Neale Hurston with six original serigraphs by Betye Saar","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBookmarks%2Ebmp","","15.25"" H x 12"" W x 1"" D","","Leather-bound book with letter-press printing and serigraphs","","African American","","The Limited Editions Club [publisher]","Museum purchase"
"Stereo card showing two African American women (one breast feeding) with four children in front of a doorway.","","Down in Dixie","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CDown+in+Dixie+copy%2Ejpg","","3.5"" H x 7"" W","","Stereograph photography","","African American","","The World Wide View Co.","Gift of Paul Kiler"
"(23) volumes of the Official Quaterly publication of the College Language Association. Published by Morgan State College in Baltimore, Maryland.","","The College Language Association Journal","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CCLA%2Ebmp","","9"" H x 6"" W x 0.5""","","bound paper volumes","","American","","Therman B. O'Daniel, editor","Gift of Theresa Brown"
"A collection of images from a specific time period that were brought together because of their interest for Statom. Many of the elements are the fanciful recognizable ones that he has explored before such as games combined with natural objects.","","Antarctica Novella","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAntarctica%2Ebmp","","8' x 8'","","mixed media and glass","","African American","","Therman Statom","Gift of the artist"
"This early issue contains articles including the slave trade defended, War with Spain, Parliamentary debate, trade issues, among others. Also, each issue contains letters from readers, stories, poetry, Foreign Affairs, Marriages, Births, Deaths, History, etc.","","The London Magazine: and Monthly Chronologer","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CGarcia%5FLondon%2Ejpg","","8"" H x 5.25"" W","","rotogravure","","British","","Thomas Astley","Gift of Edward T. Garcia"
"Tall figure with removable pelvic plate revealing face of a baby; arms represented by wheels, head absent with large organic headdress.","","Energy","http://trio.caamuseum.org/image.asp?media=%5C%5CCaamapp1%5CTrioImages%5CTimothy%5FWashington%5CEnergy%2Ejpg","","96"" x 30"" x 12""","","Mixed media","","African American","","Timothy Washington","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"Photograph from Mango Creek, Belize included in ""Tengo Casi 500 Años: Africa's Legacy in Central America"" exhibition.","","Black Narcissus","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTony%5FGleaton%5CGleaton%5FNarcissus%2Ejpg","","23"" H x 23"" W x 1.25"" D","","Gelatin silver print","","African American","","Tony Gleaton","Museum purchase"
"Photograph from Nicaragua included in ""Tengo Casi 500 Años: Africa's Legacy in Central America"" exhibition.","","The Return of Ulysses","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTony%5FGleaton%5CGleaton%5FUlysses%2Ejpg","","23"" H x 23"" W x 1.25"" D","","Gelatin silver print","","African American","","Tony Gleaton","Museum purchase"
"Stereo card showing African American women on a flatboat with rice-straw.","","A Rice-Raft with Plantation Hands near Georgetown, South Carolina","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CRiceRaft%2Ejpg","","3.5"" H x 7"" W","","Stereograph","","African American","","Underwood & Underwood Publishers","Gift of Paul Kiler"
"Yearbook of the United States Army Negro Chorus documenting the organization of a chorus of 200 African American soldiers to sing a program of ""Negro spirituals"" and folk songs in concert with the London Symphony Orchestra at the Royal Albert Hall, London.","","I Can Tell The World 1943-1944","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CNegro+Chorus%2Ejpg","","11.5"" H x 9"" W x 1"" D","","Hardbound book","","African American","","United States Army Negro Chorus","Gift of Ruby Spencer in memory of Margery Berman"
"U.S. Army commission signed by the President of the United States and Secretary of War. Framed with a brass plaque that reads, ""Theodore Roosevelt commissions Allen Allensworth, one of the first African American Chaplains in the United States Army, as a Major. This document is also countersigned by future President and Supreme Court Chief Justice William Howard Taft. Document signed December 30, 1904.""","","United States Army Commission of Allen Allensworth to Chaplain with rank of Major","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CMajorAllensworth%2Ejpg","","19"" H x 15"" W","","Ink on vellum","","African American","","United States President Theodore Roosevelt","Gift of Mr. John H. Motley"
"U.S. Army commission signed by the President of the United States and Secretary of War.","","United States Army Commission of Allen Allensworth to Lieutenant Colonel-retired","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CLTC%5FAllensworth%2Ejpg","","19"" H x 15"" W","","Ink on vellum","","African American","","United States President William Howard Taft","Gift of Mr. John H. Motley"
"Bound publication featuring the Constitution and Book of Laws for the organization created by Marcus Garvey. In effect July 1918. Revised and Amended August 1920 and August 1921.","","Constitution and Book of Laws","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CUNIA%2Ebmp","","6"" H x 4"" W x 0.25"" D","","bound book","","African American","","Universal Negro Improvement Association, Inc. and African Communities League, Inc. of the World","Museum purchase"
"movie poster, blue background, 2 men and 1 girl. Movie by Spike Lee.","","Do the Right Thing","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMovies%5CDo+the+Right+Thing%2Ejpg","","44"" x 29""","","Photo-mechanical reproduction","","African American","","Universal Pictures","Gift of Universal Pictures"
"Autographed concert program detailing the performance itinerary of Paul Robeson, assisted by Clara Rockmore on Theremin.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CProgram%5F1941%2Ejpg","","16"" H x 7"" W","","Printed paper/ink on paper","","African American","","University of California Committee on Music and Drama","Gift of Fern Pirkle and Joan Pirkle Smith"
"Application file page for student George Poage from 1903","","University of Wisconsin Graduate Department Admissions Application","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLoans%5COlympians%5Cpoage+application%2Ejpg","","8 x 10","","Photograph","","African American","","University of Wisconsin","Courtesy of the University of Wisconsin Sports News Service"
"Black female doll wearing navy blue and white polka dot dress.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDolls%5CBlack+doll%2Ejpg","","14"" H x 9"" W x 3.75"" D","","Wood, plastic and fabric","","African American","","unknown","Gift of Albert and Carolyn Navarro"
"Young woman standing against chair","","Collection of historical photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CA1%2EBMP","","3 3/8 x 5 3/8""","","Photograph","","African American","","unknown","Gift of Wayne and Shelby Kostman"
"Two young women dressed in white","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CA2%2EBMP","","3 1/8 x 5 3/8""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Baby in white on wire chair","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CA3%2EBMP","","3½ x 5½""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Three photos, two of young boy in cap. One of mother and child","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CA4%2EBMP","","5 x 1½""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Baby seated on small wooden chair","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CA5%2EBMP","","3½ x 5 3/8""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Collage of ten photos of well-dressed people","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CA6%2EBMP","","5½ x 8¾""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Possible Church group with banners in front of building","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CB2%2EBMP","","7 x 5¼""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Graduating Class","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CB3%2EBMP","","5 x 7""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Male dwarf with two women, and man in background","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CC1%2EBMP","","3½ x 5""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Two photos; one with three women on pier, the other of a seated woman outdoors","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CC2%2EBMP","","4¾ x 6½""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Boy at school desk","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CC3%2EBMP","","1 7/8 x 2 5/8""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Business card for Rev. H. Devereaux with photo on verso.","","Business card with image","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CC4%2EBMP","","2 x 3 3/8""","","Paper","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Standing uniformed man outdoors","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CC5%2EBMP","","2½ x 3½""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Two photos; one of uniformed man with woman, the other of standing woman outdoors","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CC6%2EBMP","","3½ x 6""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Two photos; one of two young women (Hazel and Lela), the other of middle-aged woman (Mrs. Devereaux) leaning on tree stump","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CC7%2EBMP","","5 x 6¼""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Young gentleman in hat and overcoat","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CD1%2EBMP","","4 x 6""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Young posed couple","","Portrait of Lena and Jack","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CD3%2EBMP","","3½ x 5 3/8""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Young seated woman with gloves and hat","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CD4%2EBMP","","3½ x 5 3/8""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"Young Lollie standing on a chair","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CD5%2EBMP","","5 x 7""","","Photograph","","African American","","unknown","Gift of Wayne & Shelby Kostman"
"attributed to a slave collar.","","Slave collar","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSlavery%5CSlaveCollar%5FBlackman%2Ejpg","","8.5"" x 6.25""","","Iron, leather","","African American","","unknown, USA","Gift of Adam Blackman"
"Certificate of Citizenship documenting the naturalization of Ken Renard.","","United States of America Certificate of Citizenship for Kenneth F. Renwick (Renard)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKen+Renard%5Ccitizen%2Ejpg","","8"" H x 10"" W","","Ink on paper","","African American","","US Department of Labor","Gift of Vertenis Shephard"
"Photograph of Big Joe Turner receiving an award certificate from Los Angeles Mayor Tom Bradley (1917 - 1998) for his outstanding contributions to the field of entertainment. Photograph in enclosed in glass and framed.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CJoeTurner%5FMayorBradley%2Ejpg","","8.75"" x 10.75""","","Gelatin silver print","","African American","","USA","Gift of Mrs. Joe Turner in memory of her husband, Big Joe Turner"
"Sword, civil war era, with scabbard. Brass twisted wire hilt and mounts. Probably US Government issue.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSword%2Ejpg","","4.5"" H x 35.5"" W","","Brass and steel","","American","","USA, military issue","Gift of Dennis L. Mims, in honor of Kazah J. Mims"
"Boxer shown with left fist raised and left foot forward, his shadow is cast on the American flag. Reproduction of signature at bottom right corner.","","Jack Johnson Champion du Monde des Poids Lourds","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CReserve%5FLibrary%5CJohnson%5FTurman%2Ejpg","","3723 x 3031 pixels/32.3 MB","","TIFF","","African American","","VAG","Gift of Lauree and Larry Turman"
"Sixty-four (64) photographic portraits that capture the diversity of community involvement by African Americans in Los Angeles ranging from religion to economics.","","The Photographs of Valerie Goodloe","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGoodloe%5FContactSheet%2Ejpg","","16"" x 16""","","Chromogenic prints","","African American","","Valerie Goodloe","Gift of Valerie Goodloe"
"(20) documents including correspondence, reviews and playbills relating to character actor, Ken Renard. Funeral program is also included.","","Ken Renard Collection","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKen+Renard%5CRenardD%2Ebmp","","11"" H x 8½"" W","","photographs","","African American","","various","Gift of Vertenis Shephard"
"(45) photographs of Tom and Ethel Bradley including: marriage photo (1941), promotion to LAPD Lieutenant (1958), with JFK, mayoral inauguration, with Dean Martin, Ricardo Montalban, Marian Anderson, Ella Fitzgerald, Arthur Ashe, Elizabeth Taylor, Sammy Davis Jr., President Jimmy Carter, Prime Minister Kriangsak Chomanan of Thailand, Ted Kennedy, Pope John Paul II, HRH Prince Charles, Bill Cosby, Prince Ranier of Monacco & Princess Caroline, Magic Johnson & Lionel Richie, and Nelson Mandela (not complete list).","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CPromotion%2Ejpg","","8"" H x 10"" W","","photograph","","African American","","various","Gift of Ethel Arnold Bradley and daughters"
"Over two hundred eighty-seven (287) vintage antique Black Americana collectibles like Mammy and Aunt Jemima cookie jars, salt and peppers, string holders, wall plaques, figurines, sheet music, tobacco and other memorabilia and African American ephemera","","Mitchell Collection of Black Dolls and Memorabilia","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDolls%5CMitchell%5Fdolls%2Ejpg","","234 cubic feet","","various","","African American","","various","Gift of Margaret Avant Mitchell"
"LA's Black photographers present a new perspective on their city; featuring the photographic work of: Roland Charles, Don Cropper, Jeffrey, Karen Kennedy, Willie Middlebrook, Nathaniel Bellamy, Calvin Hicks, Mike Jones, Ron Lyons and Akili-Casundria Ramsess.","","Life in a Day of Black LA: The Way We See It","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPublications%5CBlack%5FLA%2Ejpg","","15"" x  22""","","100 gelatin silver prints","","African American","","various Black photographers","Gift of Ralph J. Bunche Center for African American Studies at UCLA"
"Recalls the New Testament accounts of Jesus Christ's death. On that day storms arose and the ""sun refused to shine"". The crucifixion is symbolized by a cross, tinged in red, that appears in the lower half of the painting.","","Even the Sun Refused","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSun+refused%2Ejpg","","74½"" H x 69½"" W","","mixed media on canvas","","African American","","Violet Y. Fields","Gift of Violet Fields in memory of her father, Ernest Edward Fields, Sr."
"Colorful organic floral shapes dominate the painting, representing the artist's femininity.","","Side View","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSide+View%2Ejpg","","5' H x 4' W","","Acrylic and mixed media on canvas","","African American","","Violet Y. Fields","Gift of Violet Fields in memory of Mark Christopher James"
"Linoleum cut portraying influential blues musician Marion ""Little Walter"" Jacobs (1930-1968) with harmonica.","","Little Walter","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CViredo%5CLilWalter%2Ejpg","","20""H  x 20"" W","","Linocut","","Cuban American","","Viredo Espinosa","Gift of Viredo and Alicia Espinosa"
"Linoleum cut portraying the ""Queen of Salsa"" Celia Cruz (b. 1929). Celia Cruz reflects the African base of Afro-Latino music as popularized in Afro-Latin Jazz and salsa. Depicted with elements of salsa.","","Celia","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CViredo%5CCelia%2Ejpg","","21""H  x 18½"" W","","Linocut","","Cuban American","","Viredo Espinosa","Gift of Viredo and Alicia Espinosa"
"Linoleum cut portraying Louis ""Satchmo"" Armstrong (1901 - 1971) with his trumpet. Louis Armstrong, more than anyone, else was responsible for legitimizing and popularizing jazz for a wide audience.","","Satchmo","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CViredo%5CSatchmo%2Ejpg","","21""H  x 18"" W","","Linocut","","Cuban American","","Viredo Espinosa","Gift of Viredo and Alicia Espinosa"
"Linoleum cut portraying ""Eribangando"" which represents one of the seven Irimes (apparitions of the liturgy of the Abakuas of Cuba) in charge of purifying the utensils that were used in the religious ceremony.","","Eribangando","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CViredo%5CBanga%2Ejpg","","24""H  x  20"" W","","Linocut","","Cuban American","","Viredo Espinosa","Gift of Viredo and Alicia Espinosa"
"Linoleum cut portraying a band of six male Cuban musicians from Havana. This kind of group originated in Havana in the 1920s to interpret the ""sones"" (Afro-Cuban dance music that combines African percussion and rhythmic patterns with Spanish stringed instruments and lyrical styles.","","Sexteto Habanero","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CViredo%5CSexteto%2Ejpg","","23""H  x  26"" W","","Linocut","","Cuban American","","Viredo Espinosa","Gift of Viredo and Alicia Espinosa"
"First edition book of this story of Emma Lou Morgan where the peculiar conflicts that exist within the Negro society are exposed for the first time.","","The Blacker The Berry: A Novel of Negro Life","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBlackberry%2Ebmp","","7.5"" H x 5.25"" W x 1.5"" D","","Bound book","","African American","","Wallace Thurman","Museum purchase"
"A two page pamphlet advertising the real estate development of the Leimert Park area. The pamphlet has artist renderings of future housing development on the front and back covers","","Los Angeles Annual Small Homes Expositions, 1930","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CLeimertPark%5CLA%5FSmallHomesExposition+copy%2Ejpg","","11.5 H x 6.5W","","rotogravure on newsprint","","African American","","Walter H. Leimert Co., Inc","Gift of Ronald E. Lewis"
"A brochure by the Walter H. Leimert Co. advertising the Leimert Park area. The front of the brochure has a photo of a young woman sitting by a window with palm trees and greenery visible through the window. Back of brochure details in writing the successful history of Leimert Park and also lists a map of the downtown Los Angeles that demonstrates the convenient location of Leimert Park.","","Leimert Park for Living","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CLeimertPark%5CLeimertPark%5FForLiving+copy%2Ejpg","","9.25 H x 7.125 W","","rotogravure","","African American","","Walter H. Leimert Co., Inc.","Gift of Ronald E. Lewis"
"A pamphlet by the Walter H. Leimert Co., Inc. advertising that only 192 lots are available for purchase in Leimert Park.","","Leimert Park An Announcement to Only 192 People","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CLeimertPark%5C192%5FPeople%2Ejg+copy%2Ejpg","","8.5 H x 7.25 W","","rotogravure","","African American","","Walter H. Leimert Co., Inc.","Gift of Ronald E. Lewis"
"A brochure by the Walter H. Leimert Co., Inc. aiming to demonstrate to prospective home buyers the idealness of the Leimert park area through the use of photos, facts, expert opinions, etc.","","Before you Buy a Home, Income Building or Lot Consider these facts about Beautiful Leimert Park for Profits and Ideal Home Environment","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CLeimertPark%5CFacts%5FLeimertPark+copy%2Ejpg","","12 H x 12.5 W","","rotogravure","","African American","","Walter H. Leimert Co., Inc.","Gift of Ronald E. Lewis"
"Signed and dated (1961) lower right. In addition, ""imp"", which is an abbreviation of ""impressit"", indicates that the artist is also the print maker. An African American girl stands in the midst of a field of beautiful flowers on a sunny day.","","Marguerites","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CMARGUE%7E1%2EJPG","","19"" H x 38.25"" W (framed)","","Color woodcut","","African American expatriate in Paris, France and Denmark","","Walter Henry Williams","Gift of Dr. and Mrs. Leon O. Banks"
"movie poster; Gordon Parks, Director","","The Learning Tree","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMovies%5CLearning+Tree%2Ejpg","","","","Paper","","African American","","Warner Brothers","Gift of Warner Bros. Pictures"
