"artist_uri","provenance","object_uri","title","imageURL","birth","death","date","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artist_appellation_uri","name","credit"
"","Clarence S. Congdon, Detroit.Mrs. Janet Ehnes.Acquired in 1959. ","","At the Front","http://www.dia.org/user_area/comping/59.314-S1.jpg","1830","1896","1866","18 1/4 x 24 in.46.4 x 61.0 cmFramed: 28 1/2 x 34 5/8 x 3 7/8 in.","","Oil on canvas","","Paintings","","American","","George Cochran Lambdin","Founders Society Purchase, Director's Discretionary Fund"
"","Dexter M. Ferry, Jr., Grosse Pointe, Michigan.  DIA in 1960, by bequest.","","Landscape","http://www.dia.org/user_area/comping/60.67-S1.jpg","1847","1919","c. 1880/1890","16 x 24 in.40.6 x 61.0 cmFramed: 24 1/2 x 32 3/8 x 2 1/4 in.","","Oil on canvas","","Paintings","","American","","Ralph Albert Blakelock","Bequest of Dexter M. Ferry, Jr."
"","Formerly in the collection of: General Christopher Gadsden, Charleston, S. C. Christopher Gadsden, his grandson Miss Hume (Mrs. Frederick Wentworth Ford, niece of Christopher Gadsden Morris) Mrs. Lewis S. Jervey, daughter of Mrs. Ford T. B. Clarke Knoedler and Co. Senator James Couzens, Washington, D.C., and Detroit, ca. 1930; Mrs. James Couzens, Detroit.Acquired in 1961. ","","GEORGE WASHINGTON (THE GADSDEN-MORRIS-CLARKE PORTRAIT)","http://www.dia.org/user_area/comping/61.163-S1.jpg","1778","1860","1795","29 1/4 x 25 in.  (74.3 x 63.5 cm)Framed: 37 3/4 x 33 1/8 x 3 in.","","Oil on canvas","","Paintings","","American","","Rembrandt Peale","Gift of Mrs. James Couzens"
"","Amelia Elizabeth White, Santa Fe, New MexicoDIA in 1961","","WAKE OF THE FERRY, NO. 1","http://www.dia.org/user_area/comping/61.165-D1.jpg","1871","1951","1907","26 x 32 in.66.0 x 81.3 cmFramed: 31 7/8 x 37 7/8 x 3 1/8 in.","","Oil on canvas","","Paintings","","American","","John Sloan","Gift of Miss Amelia Elizabeth White"
"","Vose Galleries, Boston.  Kennedy Galleries, New York.DIA in 1961.","","The Wolf River, Kansas","http://www.dia.org/user_area/comping/61.28-S1.jpg","1830","1902","c. 1859","48 1/4 x 38 1/4 in.  (122.6 x 97.2 cm)Framed: 61 5/16 x 51 1/2 x 5 1/8 in.","","Oil on canvas","","Paintings","","American","","Albert Bierstadt","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Formerly in the collection of:The artist's grandson (?)Augustus Runyon PealeRalph L. ParkinsonDr. and Mrs. Irving Levitt, Bloomfield Hills, MichiganAcquired in 1963","","Belfield Farm","http://www.dia.org/user_area/comping/63.238.jpg","1741","1827","c. 1816","10 3/4 x 15 5/8 in.27.3 x 39.7 cmframed 14 5/8 x 19 1/2 x 2 1/4","","Oil on Canvas","","Paintings","","American","","Charles Willson Peale","Gift of Dr. and Mrs. Irving Levitt"
"","Formerly in the collection of: The sitter, Mrs Charles Carroll, Annapolis, Maryland, 1753/54-61; her son Charles Carroll, 1761-1832; his great-grandson, Charles Carroll McTavish, 1832-68; his daughter, Virginia Scott McTavish, 1868-1917; her brother, Charles Carroll McTavish, 1917-47; great-great-great-grandson, Charles Bancroft Carroll, 1947-64.Kennedy Galleries, New York, 1964-66.Acquired in 1966","","Mrs. Charles Carroll of Annapolis","http://www.dia.org/user_area/comping/66.397-S2.jpg","","","1753/1754","Framed: 60 3/4 x 52 x 4 7/8 in. (154.31 x 132.08 x 12.38 cm)50 x 40 in.127.0 x 101.6 cm","","Oil on canvas","","Paintings","","American","","John Wollaston","Founders Society Purchase, Mr. and Mrs. Walter Buhl Ford, II Fund"
"","Howard Young Gallery, New York, ca. 1927-28.Alfred J. Fisher.Acquired in 1967.","","The Fisherman's Wedding Party","http://www.dia.org/user_area/comping/67.118.jpg","1837","1926","1892","24 x 33 in.61.0 x 83.8 cmFramed: 36 1/4 x 45 3/16 x 5 in.  ( 92.1 x 114.8 x 12.7 cm)","","Oil on canvas","","Paintings","","American","","Thomas Moran","Bequest of Alfred J. Fisher"
"","Raymond C. Smith.Acquired in 1967","","In the Adirondacks","http://www.dia.org/user_area/comping/67.253-S1.jpg","1836","1897","1881","12 1/8 x 19 1/8 in.  (30.8 x 48.6 cm)Frame: 19 1/2 x 26 3/8 x 3 1/2 in. (49.5 x 67.0 x 8.9 cm)","","Oil on canvas","","Paintings","","American","","Homer Dodge Martin","Gift of Raymond C. Smith"
"","The artist's family until 1927. Gordon Beers, Gordon Galleries to Raymond C. Smith, 1927.Gift of Raymond C. Smith to DIA in 1967.","","Mrs. William Merritt Chase","http://www.dia.org/user_area/comping/67.254-D1.jpg","1849","1916","c. 1890","Framed: 26 7/8 x 22 7/8 x 2 1/4 in. (67.15 x 58.10 x 5.72 cm)20 x 16 in.50.8 x 40.6 cm","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Gift of Raymond C. Smith"
"","Van Loan family, Athens, N.Y.Hirschl & Adler Galleries, New York.Acquired in 1968.","","Lagoon of the Guayaquil River, Ecuador","http://www.dia.org/user_area/comping/68.345.jpg","1831","1870","1863","24 1/4 x 38 in.  (61.5 x 96.5 cm)Framed: 36 x 50 x 4 7/8 in.","","Oil on canvas","","Paintings","","American","","Louis Remy Mignot","Founders Society Purchase, Beatrice W. Rogers Fund and funds from Robert H. Tannahill and Al Borman"
"","The artist's heirs, 1822William McNeil, Tappan, New YorkKennedy Galleries, New York, 1967Acquired in 1968","","Carter's Tavern at the Head of Lake George","http://www.dia.org/user_area/comping/68.39.jpg","1760","1820","1817/1818","39 3/4 x 66 1/4 in.101.0 x 168.3 cmframed 49 5/8 x 75 1/4 x 3 3/4 in","","Oil on canvas","","Paintings","","American","","Francis Guy","Founders Society Purchase, Robert H. Tannahill Foundation Fund, Gibbs-Williams Fund, and the Merrill Fund"
"","Gari MelchersThe Mr. and Mrs. Charles Swift family, Middlebury, Vermont. DIA in 1969.","","The Communicant","http://www.dia.org/user_area/comping/69.527-D2.jpg","1860","1932","c. 1900","63 1/4 x 43 in.  (160.7 x 109.2 cm)Framed: 80 1/2 x 59 1/8 x 7 1/4 in.","","Oil on canvas","","Paintings","","American","","Gari Melchers","Bequest of Mr. and Mrs. Charles M. Swift"
"","Formerly in the collection of:  O. Lagrange LaDueOliver Ladew, Baltimore; Pascal Gatterdam, New York. Macbeth Galleries (dealer), New York.Robert H. TannahillAcquired in 1970.","","The Four-Leaf Clover","http://www.dia.org/user_area/comping/70.150-S1.jpg","1836","1910","1873","14 1/4 x 20 3/8 in.   (36.2 x 51.8 cm)Framed: 25 x 31 x 4 in.","","Oil on canvas","","Paintings","","American","","Winslow Homer","Bequest of Robert H. Tannahill"
"","The Family of Colonel LewisSale, Sotheby's, London, November 19, 1969, lot 42Leger Galleries, Ltd., London, 1969DIA in 1970 ","","Colonel George Lewis","http://www.dia.org/user_area/comping/70.560.A-S1.jpg","1738","1815","1794","Framed: 37 9/16 x 32 9/16 x 2 3/4 in. (95.41 x 82.71 x 6.99 cm)30 1/8 x 25 in.76.5 x 63.5 cm","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase with funds from Mr. and Mrs. Richard A. Manoogian"
"","Dealer, Redhill Surrey, EnglandLeger Galleris, London, 1967-70DIA in 1970","","Master Charles William Park","http://www.dia.org/user_area/comping/70.616.jpg","1761","1831","1785/1790","Framed: 57 5/8 x 47 1/2 x 2 3/4 in.  ( 146.4 x 120.7 x 7 cm)50 x 40 in.127.0 x 101.6 cm","","Oil on canvas","","Paintings","","American","","Mather Brown","Founders Society Purchase, Gibbs-Williams Fund"
"","Chicago Art MarketRaymond L. McKanny, Douglas, Mich.DiA in 1970.","","Sunset after a Storm in the Catskill Mountains","http://www.dia.org/user_area/comping/70.617.jpg","1823","1900","c. 1860","12 x 20 in.  (30.5 x 50.8 cm)Framed: 16 7/8 x 24 7/8 x 2 1/4 in.","","Oil on canvas","","Paintings","","American","","Jasper Francis Cropsey","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Theodore Robinson (Robinson estate sale, American Art Association, New York, 1898, no. 41, as NORMANDY FARM)J.E. Cowdin, 1898Mrs. Gertrude Cowdin Thaw, Cowdin et al Sale, American Art Association, New York, May 9, 1916, no. 50 (sold as FARM HOUSE AND RICK)Colonel Frank J. Hecker, 1916Mr. and Mrs. Christian Hecker (Col. Hecker's son)DIA in 1970","","SCENE AT GIVERNY","http://www.dia.org/user_area/comping/70.680-D1.jpg","1852","1896","1890","16 x 25 3/4 in.40.6 x 65.4 cmFramed: 29 7/16 x 39 3/8 x 2 3/8 in.","","Oil on canvas","","Paintings","","American","","Theodore Robinson","Gift of Mrs. Christian H. Hecker"
"","Formerly in the collection of: John Wilson, European Museum (dealer), London, 1819.Sir John Fleming Leicester, Bt. [later the first Lord de Tabley], London, 1819.Leicester sale, Christie's, London, July 7, 1827, lot 45, bought by Jackson.Given by Mrs. Newton Jackson to Radley College, Oxfordshire, 1906.Sale, Phillip, Son and Neale, London, April 6, 1970, lot P90.Leger Galleries, London.Acquired in 1970.","","Lot Fleeing from Sodom","http://www.dia.org/user_area/comping/70.831-S1.jpg","1738","1820","1810","Framed:  54 1/2 x 85 3/8 x 2 1/2 in.  ( 138.43 x 216.85 x 6.35 cm)47 1/8 x 78 1/8 in.  (119.7 x 198.4 cm)","","Oil on panel","","Paintings","","American","","Benjamin West","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","Hannah Loring, 1763-1785,Hannah Winslow de Paiba (her daughter),Mrs. L. G. M. Temple (her daughter), Toronto,L. G. M. Temple, TorontoWilliam Caleb Loring, Boston, 1893Augustus P. Loring (his nephew), Boston, 1938William Caleb Loring, Prides Crossing, Massachusetts, by 1966Kennedy Galleries, New York, 1970DIA in 1970.","","Hannah Loring","http://www.dia.org/user_area/comping/70.900.jpg","1738","1815","1763","49 3/4 x 39 1/4 in.  (126.4 x 99.7 cm)Framed: 58 1/4 x 49 1/4 x 4 in.","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Gift of Mrs. Edsel B. Ford in memory of Robert H. Tannahill"
"","Augustus Eliott Fuller, descendant, Rose Hill Park, Sussex, by 1846Decended indirectly in the sitter's family to Sir George Eliott Meyrick Tapps-Gervis, Bt., Hinton Admiral Hampshire, ca. 1876;Sir George D. Eliott Tapps-Gervis-Meyrick, Bt. (his great-grandson), 1970Sale, Christies, London, May 13, 1970, no. 99Leger Galleries, London, 1970DiA in 1970.","","Sir George Augustus Elliott, K.B., First Lord Heathfield of Gibralter","http://www.dia.org/user_area/comping/70.953.jpg","1761","1831","1788/1791","30 x 25 in.76.2 x 63.5 cm","","Oil on canvas","","Paintings","","American","","Mather Brown","City of Detroit Purchase, Insurance Recovery Funds"
"","Mary Boylston Hallowell (the sitter)Mary Hallowell Elmsley (her daughter)Mary Elmsley Bond (her daughter)Elizabeth Bond Coke (her daughter)George Elmsley Coke (her son)Basil Elmsley Coke (his son)Mrs. A. R. (Cassandra Coke) Wise (his daughter)Adam Nugent Wise (her son)Leger Galleries, London, 1971DIA in 1971.","","Mrs. Benjamin Hallowell","http://www.dia.org/user_area/comping/71.168.jpg","1738","1815","1766/1767","47 x 37 1/2 in.   (119.4 x 95.3 cm)Framed: 57 5/8 x 48 x 3 in.","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase, Gibbs-Williams Fund, Dexter M. Ferry Jr. Fund, Robert H. Tannahill Foundation Fund and Beatrice W. Rogers Fund"
"","Robert Charles Hall.  Gift of his daughter, Elizabeth Hall, and her sister, to the Peabody Institute, Baltimore, 1924.Kennedy Galleries, New York 1964.  Mr. and Mrs. Harold O. Love, 1964-72.Acquired in 1972 ","","HOC SIGNO VINCES","http://www.dia.org/user_area/comping/72.249.jpg","1840","1895","1880","Framed:  48 1/2 x 64 x 3 1/2 in.  ( 123.2 x 162.6 x 8.9 cm)39 x 54 in.  (99.1 x 137.2 cm)","","Oil on canvas","","Paintings","","American","","Thomas Hovenden","Gift of Mr. and Mrs. Harold O. Love"
"","General Brayton Ives, new York, from 1890.Mr. and Mrs. John Droska, Detroit, 1957-59Mr. and Mrs. William Kahlich, Detroit, 1959-66Mr. and Mrs. James O. Keene, Birmingham, Mich., 1966-72.Acquired in 1972.","","Serving Maid","http://www.dia.org/user_area/comping/72.257.jpg","1823","1903","1890","Framed: 35 5/8 x 29 5/8 x 3 5/8 in. (90.49 x 75.25 x 9.21 cm)24 1/4 x 18 1/4 in. (61.6 x 46.4 cm)","","Oil on canvas","","Paintings","","American","","Thomas Waterman Wood","Gift of Mr. and Mrs. James O. Keene"
"","Colonel Frank J. Hecker, Detroit, ca. 1898; to unknown Grosse Pointe, Michigan, patron; to unknown Royal Oak, Michigan, patron; to George Heckroth, dealer; toMr. and Mrs.  James O. Keene; to DIA in 1972.","","Classical Figures","http://www.dia.org/user_area/comping/72.839-D2.jpg","1851","1938","1898","Center panel: 65 1/8 x 24 in. (165.4 x 61.0 cm)Left panel: 65 1/8 x 24 in. (165.4 x 61.0 cm)Right panel: 65 x 23 in.(165.1 x 58.4 cm)Framed: (H at left x W foot to) 74 1/4 x 76 1/2 in. (188.6 x 194.3 cm)","","Oil on panel","","Paintings","","American","","Thomas Wilmer Dewing","Gift of Mr. and Mrs. James O. Keene in memory of their daughter, Sandra Mae Long"
"","Mr. Marvin SimonsMrs. Helen L. DeRoy, Detroit, Michigan. DIA in 1972.","","Indian Encampment","http://www.dia.org/user_area/comping/72.840.jpg","1847","1919","1881/1890","19 1/2 x 31 3/4 in. (49.5 X 80.6 cm)Framed: 32 x 44 1/8 x 4 in.","","Oil on canvas","","Paintings","","American","","Ralph Albert Blakelock","Gift of Mrs. Helen L. DeRoy"
"","Caroline Hunt Rimmer.Unidentified male operator of horse-rental establishment near South Station, Boston, who lived in Lexington, Mass.Miss Florence M.  Young and unidentified older sister, 1920s.Miss Florence M. Young, West Roxbury, Mass. Mrs. Kingsbury, Medfield, Mass., ca. 1961-mid-1970.Vose Galleries, Boston.Dr. and Mrs. Sheldon Stern, Franklin, Mich.Acquired in 1973","","Civil War Scene","http://www.dia.org/user_area/comping/73.103.jpg","1816","1879","c. 1870/1871","20 1/4 x 27 1/4 in.51.4 x 69.2 cmFramed: 27 1/2 x 37 5/8 x 3 3/4 in.","","Oil on canvas","","Paintings","","American","","William S. Rimmer","Gift of Dr. and Mrs. Sheldon Stern"
"","William Brand, 1865.Sotheby and Company, London, 1971.Meredith Long and Company, Houston, Texas, 1972.DIA in 1973.","","Claiming the Shot:  After the Hunt in the Adirondacks","http://www.dia.org/user_area/comping/73.226-S1.jpg","1831","1913","1865","32 x 50 in.   (81.3 x 127.0 cm)                                Framed: 47 1/2 x 65 1/2 x 6 1/8","","Oil on canvas","","Paintings","","American","","John George Brown","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","John Singer Sargent;to sitter, Semourina;Seymourina Cuthbert Poirson to her daughter-in-law, Madame Charles Poirson;Mme. Poirson to her son, Gerard Poirson, until 1972; to Newhouse Galleries until 1973;DIA in 1973.","","Madame Paul Poirson","http://www.dia.org/user_area/comping/73.41.jpg","1856","1925","1885","60 x 34 in.  (152.4 x 86.4 cm)Framed: 78 x 52 x 4 1/8 in.","","Oil on canvas","","Paintings","","American","","John Singer Sargent","Founders Society Purchase with funds from Mr. and Mrs. Richard A. Manoogian, the Beatrice Rogers Fund, Gibbs-Williams Fund and Ralph Harman Booth Bequest Fund"
"","Myron BarlowJacob and Rosalie Siegel (purchased directly from the artist on 22 March 1919). Sold to Mr. and Mrs. Bernard Walker, 1975. DIA in 1975","","APPLES (LES POMMES)","http://www.dia.org/user_area/comping/74.268.jpg","1873","1937","c. 1914","59 3/8 x 59 1/4 in. (150.8 x 150.5 cm)Framed: 67 x 67 x 3 3/8 in.","","Oil on canvas","","Paintings","","American","","Myron G. Barlow","Gift of Mr. and Mrs. Bernard F. Walker in memory of Jacob and Rosalie Siegel"
"","","","Still Life with Lobster","http://www.dia.org/user_area/comping/74.54.jpg","1846","1915","1898","26 x 39 in. (66.0 x 99.1 cm)Framed: 33 5/8 x 46 5/8 x 3 3/4","","Oil on canvas","","Paintings","","American","","Milne Ramsey","Founders Society Purchase, Beatrice W. Rogers Fund"
"","James W.  Pinchot, New York and Washington, D.C., ca. 1862-66 until 1908.Governor Gifford Pinchot.Mr. Gifford Pinchot, until 1975.Hirschl & Adler Galleries, New York.Acquired in 1975.","","Indian Summer","http://www.dia.org/user_area/comping/75.11.jpg","1828","1891","c. 1860/1861","Framed: 55 1/8 x 83 5/8 x 5 5/8 in. (140.02 x 212.41 x 14.29 cm)39 7/8 x 68 in.101.3 x 172.7 cm","","Oil on canvas","","Paintings","","American","","Jervis McEntee","Founders Society Purchase, Gibbs-Williams Fund and Dexter M. Ferry, Jr. Fund"
"","Vose Galleries, BostonAcquired in 1975.","","Still Life with Yellow Apples","http://www.dia.org/user_area/comping/75.58.jpg","1808","1886","1858","25 1/4 x 30 1/4 in.64.1 x 76.8 cmFramed: 32 1/2 x 38 x 3 5/8 in.","","Oil on canvas","","Paintings","","American","","John F. Francis","Founders Society Purchase, Gibbs-Williams Fund"
"","James Lenox (It was commissioned by him),  New York, 1862-80.  Lenox Library (later New York Public Library), New York, 1880-1945. M. Knoedler and Co., New York, 1945 John Astor, Miami, Florida (He was a descendent of Lenox),  New York, 1945-76.Hirschl & Adler Galleries, New York, 1976.DIA in 1976.","","COTOPAXI","http://www.dia.org/user_area/comping/76.89.jpg","1826","1900","1862","48 x 85 in.  (121.9 x 215.9 cm)Framed: 66 5/8 x 103 x 6 1/4 in.","","Oil on canvas","","Paintings","","American","","Frederic Edwin Church","Founders Society  Purchase, Robert H. Tannahill Foundation Fund, Gibbs-Williams Fund, Dexter M. Ferry Jr. Fund, Merrill Fund, Beatrice W. Rogers Fund, and Richard A. Manoogian Fund"
"","","","Edsel B. Ford","http://www.dia.org/user_area/comping/77.5.jpg","1886","1957","1932","38 1/2 x 49 1/4 in.97.8 x 125.1 cmFramed: 39 1/2 x 49 7/8 in.","","Oil on canvas, mounted on masonite","","Paintings","","Mexican","","Diego M. Rivera","Bequest of Eleanor Clay Ford"
"","Formerly in the collection of: William Beckford, Bath, by 1838; his daughter Euphemia, wife of the tenth Duke ofHamilton; the twelfth Duke of Hamilton.  Hamilton Palace sale, Christies, London, June 17-July 20, 1882, lot 1068.H. Graves and Co. (dealers), London.Thomas B. Walker, Minneapolis, 1909.Harry W. Peterson, 1937.Frank Gunter, Champaign, Illinois, 1977.Acquired in 1977. ","","King Lear","http://www.dia.org/user_area/comping/77.58.jpg","1738","1820","c. 1788","20 1/2 x 27 1/2 in.  (52.1 x 69.8 cm)Framed: 27 x 34 x 4 in.","","Oil on canvas","","Paintings","","American","","Benjamin West","Founders Society Purchase, Gibbs-Williams Fund"
"","Kennedy Galleries, New York, 1960Harold O. Love, Grosse Pointe Woods, MichiganAcquired in 1977","","Forest Scene in the Catskills","http://www.dia.org/user_area/comping/77.93.jpg","1796","1886","1855/1860","15 x 24 in.  (38.1 x 60.96 cm)Framed: 22 5/8 x 37 1/2 x 2 1/4 in. (57.5 x 95.3 x 5.7 cm)","","Oil on canvas","","Paintings","","American","","Asher Brown Durand","Gift of Mr. and Mrs. Harold O. Love"
"","H.  H.  Leeds and Miner,  and H. W. Derby, 1867.Frank Johnston Jones. University of Cincinnati, Ohio, 1928-77.Hirschl & Adler, New  York.DIA in 1978. ","","Indian Summer","http://www.dia.org/user_area/comping/78.38-S1.jpg","1823","1900","1866","53 x 95 in.  (134.6 x 241.3 cm)Framed: 74 5/8 x 116 1/2 x 7 1/2 in.","","Oil on canvas","","Paintings","","American","","Jasper Francis Cropsey","Founders Society Purchase, Robert H. Tannahill Foundation Fund, James and Florence Beresford Fund, Gibbs-Williams Fund and Beatrice W. Rogers Fund"
"","Formerly in the collection of: Possibly  Henry Thomson, R. A., London.George Wyndham, third Earl of Egremont, Petworth House, Sussex, by 1820;John Wyndham, seventh Baron Leconfield and second Baron Egremont.Wyndham sale, Sotheby's, London, July 19, 1978, lot 18.P. and D. Colnaghi (dealer), London.Acquired in 1979.","","Death on the Pale Horse","http://www.dia.org/user_area/comping/79.33.jpg","1738","1820","1796","23 3/8 x 50 5/8 in.  (59.5 x 128.5 cm)Framed: 36 1/2 x 63 1/8 x 3 1/8 in.","","Oil on canvas","","Paintings","","American","","Benjamin West","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","Commissioned by George III and presented by him in 1786 to Saint George's Chapel, Windsor.Sale, Dean and Canons of Windsor, Sotheby's, London, June 2, 1978, lot 132.Somerville and Simpson (dealer), London, and P. and D. Colnaghi (dealer), London.Acquired in 1980.","","The Last Supper","http://www.dia.org/user_area/comping/80.101.jpg","1738","1820","1786","Framed: 114 x 154 1/2 x 5 1/2 in. (289.56 x 392.43 x 13.97 cm)Canvas: 98 x 140 1/2 in. (250 x 360 cm)","","Oil on canvas","","Paintings","","American","","Benjamin West","Founders Society Purchase, Robert H. Tannahill Foundation Fund and Gibbs-Williams Fund"
"","George Abraham and Gilbert May Antiques, 1961 Edgar William and Bernice Chrysler Garbisch, New York.DIA in 1981.","","C. Blair","http://www.dia.org/user_area/comping/81.839.jpg","","","c. 1830","Framed: 32 1/8 x 28 1/16 x 1 9/16 in. (81.60 x 71.28 x 3.97 cm)28 x 24 in.71.1 x 61.0 cm","","Oil on canvas","","Paintings","","American",""," Anonymous","Gift of the Estates of Edgar W. and Bernice Chrysler Garbisch"
"","Mrs. John White AlexanderIrina A. Reed, New York (grandaughter of John White Alexander)Graham Galleries, New YorkDIA in 1982","","Panel for Music Room","http://www.dia.org/user_area/comping/82.26-S3.jpg","1856","1915","1894","37 x 77 3/4 in.  (94.0 x 197.5 cm)Framed: 50 1/2 x 90 3/4 x 3 in.","","Oil on canvas","","Paintings","","American","","John White Alexander","Founders Society Purchase, Beatrice W. Rogers Fund, Dexter M. Ferry, Jr. Fund, Merrill Fund, and Eleanor and Edsel Ford Exhibition and Acquisition Fund"
"","Acquired in 1883.","","READING THE STORY OF OENONE","http://www.dia.org/user_area/comping/83.1.jpg","1846","1912","c. 1883","30 x 57 7/8 in.  (76.2 x 147 cm)Framed: 51 1/8 x 78 3/4 x 5 3/8 in.","","Oil on canvas","","Paintings","","American","","Francis Davis Millet","Detroit Museum of Art Purchase, Art Loan Fund and Popular Subscription Fund"
"","Formerly in the collection of:G. Q. Cotton, Philadelphia, 1858S. A. Coale (dealer), St. Louis, 1885George H. Scripps, Detroit, 1885.Acquired in 1885.","","The Court of Death","http://www.dia.org/user_area/comping/85.3.jpg","1778","1860","1820","Framed:  152 x 295 x 7 in.  ( 386.08 x 749.3 x 17.78 cm)138 x 281 in.  (350.5 x 713.7 cm)","","Oil on canvas","","Paintings","","American","","Rembrandt Peale","Gift of George H. Scripps"
"","DMA purchase from artist, from Merrill Hall Exhibition proceeds.","","THE MISSING VESSEL","http://www.dia.org/user_area/comping/86.2-D1.jpg","1848","1914","1884","30 3/4 x 50 1/4 in.  (78.1 x 127.6 cm)Frame: 49 x 69 x 5 1/4 in. (124.5 x 175.3 x 13.3 cm)","","Oil on canvas","","Paintings","","American","","Frank Knox Morton Rehn","Detroit Museum of Art Purchase, Merrill Hall Exhibition Proceeds"
"","DIA in 1888.","","A Surprise Party","http://www.dia.org/user_area/comping/88.1-S1.jpg","1831","1913","1888","Canvas: 25 x 20 in.  (63.5 x 50.8 cm)Framed: 39 x 34 x 5 in. (99.06 x 86.36 x 12.7 cm.)","","Oil on canvas","","Paintings","","American","","John George Brown","Detroit Museum of Art Purchase"
"","Purchased by subscription through the efforts of Mrs. E. C. Skinner and Mrs. H. P. Jenkins and presented to the museum. Purchased from the artist.","","The Young Artist","http://www.dia.org/user_area/comping/88.2.jpg","1839","1913","1885","Canvas: 28 x 23 in. (71.1 x 58.4 cm)Framed: 40 x 35 1/8 x 4 1/2 in.","","Oil on canvas","","Paintings","","American","","Ellen Kendall Baker","Gift of the Friends of the Museum"
"","The artist to DIA, 1889.  File says that the painting was ""to be taken from Mr. Brearley,"" so he apparently purchased it for the museum and was later reimbursed. Purchased from artist.","","The Lily Pond","http://www.dia.org/user_area/comping/89.1-S1.jpg","1850","1901","c. 1886","Framed: 47 x77 x2 1/2 in. ( 119.4 x195.6 x6.4 cm. )Unframed: 40 x 70 in. (101.6 x 177.8 cm)","","Oil on canvas","","Paintings","","American","","Charles Harry Eaton","Detroit Museum of Art Purchase, Popular Subscription Fund"
"","Thomas Hankey sale, Christie's, London, June 7-8, 1799, lot 20.John Willett sale, Peter Coxe, London, June 1, 1813, lot 79.James E. Scripps, Detroit.Acquired in 1889.","","Queen Philippa Interceding for the Lives of the Burghers of Calais","http://www.dia.org/user_area/comping/89.73-S1.jpg","1738","1820","1788","Canvas: 39 1/2 x 52 1/4 in. (100.3 x 132.7 cm)Framed: 47 1/2 x 59 7/8 x 3 in.","","Oil on canvas","","Paintings","","American","","Benjamin West","Gift of James E. Scripps"
"","Witenagemote Club, purchased in 1889 as a giftDIA in 1889..","","Vespers","http://www.dia.org/user_area/comping/89.74-S1.jpg","1860","1932","1888","Canvas: 38 x 28 in.  (96.5 x 71.1 cm)Framed: 51 1/2 x 41 3/4 x 5 in.","","Oil on canvas","","Paintings","","American","","Gari Melchers","Gift of the Witenagemote Club"
"","Samuel Richards (the artist)Bela Hubbard (purchased it for $3,000)DMA in 1892.","","Evangeline Discovering her Affianced in the Hospital","http://www.dia.org/user_area/comping/92.1-D1.jpg","1853","1893","1887/1889","67 7/8 x 100 3/8 in.  (172.4 x 255.0 cm)Framed: 76 1/4 x 106 1/4 x 2 3/4","","Oil on canvas","","Paintings","","American","","Samuel Richards","Gift of Mr. Bela Hubbard"
"","By descent to the sitter's wife.Acquired in 1896","","Portrait of Mr. William H. Brearly","http://www.dia.org/user_area/comping/96.1-S1.jpg","1833","1894","1884","28 x 23 in. (71.1 x 58.4 cm)Framed: 39 1/2 x 34 1/2 x 3 5/8 in.","","Oil on preprimed canvas","","Paintings","","American","","Lewis Thomas Ives","Gift of Mrs. William H. Brearley"
"","Purchased directly from the artist and was the first purchase made by the DMA Artists' Fund. Painting had been part of the ""Third Annual Exhibition of the Society of Western Artists.""","","Lady in Pink","http://www.dia.org/user_area/comping/99.2-D1.jpg","1860","1935","1898","29 x 22 in.  (73.7 x 55.9 cm)Framed: 41 5/8 x 34 5/8 x 4 1/2 in.","","Pastel on paper","","Paintings","","American","","Joseph W. Gies","Detroit Museum of Art Purchase, Artists' Fund"
"","C.J. Glascow Company, Detroit.  Acquired as a gift in 1968.","","THE WATER CARRIERS","http://www.dia.org/user_area/comping/F68.111.jpg","1839","1924","1892","39 x 52 1/2 in. (99.1 x 133.4 cm)Framed: 46 1/4 x 59 1/2 x 3 1/8 in.","","Oil on canvas mounted on board","","Paintings","","American","","Daniel Ridgway Knight","Gift of the C. J. Glasgow Company"
"","The sitter's son John Newbury Bagley.  His daughterFrances Bagley Wallace.  Mrs. James K. Watkins.Acquired in 1977.","","Mrs. John J. Bagley","http://www.dia.org/user_area/comping/F77.113-S1.jpg","1833","1894","1872/1882","54 x 36 1/4 in. (137.2 x 92.1 cm)Framed:67 3/8 x 50 1/4 x 6 3/4 in.","","Oil on canvas","","Paintings","","American","","Lewis Thomas Ives","Gift of James K. Watkins, Jr., George H. Watkins, John B. Watkins and Margaret H. Watkins in memory of Mrs. James K. Watkins"
