"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"","","The Divorce, Number 3","1942","MetDoesntKnow","1983","1983","H. 10, W. 13 inches (25.4 x 33 cm.)","","Graphite, ink, gouache, and wash on paper","","Drawings","","American","","Mark Greenwold","Anonymous Gift, 1989"
"","","Amategram Series - The Vivification of the Flesh","1948","1985","1981","1981","H. 24-3/4, W. 17 inches (62.9 x 43.2 cm.)","","Gouache and acrylic on bark paper","","Drawings","","MetDoesntKnow","","Ana Mendieta","Purchase, Mrs. Fernand Leval and Robert Miller Gallery, Inc. Gifts, 1983"
"","","Still Life with Fruit","1812","1879","1876","1876","10 3/4 x 13 in. (27.3 x 33 cm)","","Watercolor and gouache on off-white laminated paper board (possibly Bristol board)","","Drawings","","MetDoesntKnow","","Attributed to John William Hill","Maria DeWitt Jesup Fund, 1979"
"","","James Smith Livingston","1765","1835","1795?","1795?","1 5/8 x 1 5/16 in. (4.1 x 3.3 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Archibald Robertson","Gift of Mr. and Mrs. Samuel Schwartz, 1965"
"","","Baptism","1800?","1880","1870s","1870s","6 1/8 x 9 1/4 in. (15.6 x 23.5 cm)","","Oil on slate paper","","Paintings","","American","","William P. Chappel","The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"","","Major General Benjamin Lincoln","1749","1831","1794","1794","1 7/8 x 1 7/16 in. (4.8 x 3.7 cm)","","Watercolor on ivory in gold locket with brightwork bezel","","Paintings","","American","","James Peale","Gift of J. William Middendorf II, 1968"
"","","Arques-la-Bataille","1853","1902","1885","1885","60 x 78 7/8 in. (152.4 x 200.3 cm)","","Oil on canvas","","Paintings","","American","","John Henry Twachtman","Morris K. Jesup Fund, 1968"
"","","Robert W. de Forest","1876","1964","1931","1931","49 7/8 x 36 in. (126.7 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","John Christen Johansen","Gift of the Trustees of the Museum, 1931"
"","","Untitled (Horn)","1955","MetDoesntKnow","1989","1989","H. 40, W. 48 inches (101.6 x 121.9 cm.)","","Oil on canvas","","Paintings","","American","","Joe Andoe","Gift of Barbara and Eugene Schwartz, 1991"
"","","Swimming Party","1864","1941","1918?","1918?","30 1/2 x 40 1/2 in. (77.5 x 102.9 cm)","","Oil on cardboard","","Paintings","","American","","Louis Michel Eilshemius","Bequest of Scofield Thayer, 1982"
"","","Italian Girl","1824","1879","1867","1867","16 1/4 x 8 3/8 in. (41.3 x 21.3 cm)","","Oil on canvas","","Paintings","","American","","William Morris Hunt","Bequest of Martha T. Fiske Collord, in memory of Josiah M. Fiske, 1908"
"","","My Wife","1879","1946","1925?","1930","H. 26, W. 20 inches (66 x 50.8 cm.)","","Oil on canvas","","Paintings","","American","","Arnold Friedman","Purchase, Litsa D. Tsitsera Gift, in memory of Sait Salim Halman, 1987"
"","","Roman Campagna, Nov. 12, 1868 (from Sketchbook)","1828","1891","1868","1868","4 1/2 x 9 in. (11.4 x 22.9 cm)","","Graphite, white gouache, on blue paper","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","Portrait of a Lady","1801","1846","1820?","1820?","3 9/32 x 2 21/32 in. (8.3 x 6.7 cm)","","Watercolor on ivory","","Paintings","","American","","Henry Inman","Bequest of Mrs. Heinrich Meyn, for her friend, Anna Mary King, 1925"
"","","Portrait of a Gentleman","1780","1840","1809","1809","3 x 2 3/8 in. (7.6 x 6 cm)","","Watercolor on ivory in rose gold metal locket with beaded front bezel","","Paintings","","MetDoesntKnow","","John Wesley Jarvis","The Moses Lazarus Collection, Gift of Josephine and Sarah Lazarus, in memory of their father, 1888-95"
"","","Untitled","1912","1956","1938?","1941","H. 14-1/4, W. 10 inches (36.2 x 25.4 cm.)","","Gouache, colored pencils, and graphite on paper","","Drawings","","American","","Jackson Pollock","Purchase, Anonymous Gift, 1990"
"","","Fair Hills","1942","MetDoesntKnow","1985","1985","H. 72, W. 108 inches (182.9 x 274.3 cm.)","","Oil on canvas","","Paintings","","American","","Willard Dixon","Gift of Dr. and Mrs. Robert E. Carroll, 1987"
"","","Earth Script","1914","2006","1973","1973","Diam. 66 inches (167.6 cm.)","","Acrylic on canvas","","Paintings","","American","","Henry Pearson","Gift of Dr. Lawrence and Regina Dubin, 1998"
"","","Sardines","1942","1994","1975","1975","H. 6, W. 4 inches (15.2 x 10.2 cm.)","","Cut and pasted printed and embossed metallic papers, foil, and painted paper, gouache, and graphite on paper","","Drawings","","American","","Joe Brainard","Gift of Stanley Posthorn, in memory of the artist, 1997"
"","","Portrait of Otis Spann","1945","2012","1989","1989","H. 24, W. 20-1/8 inches (61 x 51.1 cm.)","","Oil on canvas","","Paintings","","American","","Frederick J. Brown","Gift of Byron Lewis, 1992"
"","","At the Waterfall","1799","1865","1850?","1850?","8 5/8 x 12 3/4 in. (21.9 x 32.4 cm)","","Watercolor, gum arabic, and gouache on off-white wove paper","","Drawings","","American","","David Claypoole Johnston","Gift of Mr. and Mrs. Stuart P. Feld, 1978"
"","","Renate's Nantucket","1880","1966","1965","1965","H. 60, W. 72 inches (152.4 x 182.9 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Hans Hofmann","Bequest of Renate Hofmann, 1992"
"","","The Rocky Mountains, Lander's Peak","1830","1902","1863","1863","73 1/2 x 120 3/4 in. (186.7 x 306.7 cm)","","Oil on canvas","","Paintings","","American","","Albert Bierstadt","Rogers Fund, 1907"
"","","No. 16","1903","1970","1960","1960","102 x 119 1/2in. (259.1 x 303.5cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Mark Rothko","Arthur Hoppock Hearn Fund, George A. Hearn Fund and Hugo Kastor Fund, 1971"
"","","The Blizzard","1907","1996","1941","1941","H. 16, W. 24 inches (40.6 x 61 cm.)","","Oil on Masonite","","Paintings","","American","","Betty Lane","George A. Hearn Fund, 1941"
"","","Gustavus Adolphus Rollins","1804","1894","1835?","1835?","Sight: 2 7/8 x 2 3/8 in. (7.3 x 6 cm)","","Watercolor on ivory in black leatherette case","","Paintings","","MetDoesntKnow","","Thomas Seir Cummings","Gift of E. A. Rollins, through his son, A. C. Rollins, 1933"
"","","Unicorns (Legend�Sea Calm)","1862","1928","1906?","1906?","18 1/4 x 40 1/4 in. (46.4 x 102.2 cm)","","Oil on canvas","","Paintings","","American","","Arthur B. Davies","Bequest of Lillie P. Bliss, 1931"
"","","Portrait of a Woman","1878","1962","null","null","H. 12-1/2, W. 9-3/8 inches (31.8 x 23.8 cm.)","","Oil on canvas","","Paintings","","American","","Millie Bruhl Fredrick","Bequest of the artist, 1962"
"","","Untitled","1908","1984","1948","1948","H. 30, W. 25 inches (76.2 x 63.5 cm.)","","Oil on canvas","","Paintings","","American","","Lee Krasner","Gift of Mrs. Donald T. Braider, 1986"
"","","Kate Roselie Dodge","1807","1893","1854","1854","Sight: 3 x 2 1/2 in. (7.6 x 6.4 cm)","","Watercolor on ivory in ormolu mat","","Paintings","","MetDoesntKnow","","John Wood Dodge","Morris K. Jesup Fund, 1988"
"","","The Midnight Ride of Paul Revere","1892","1942","1931","1931","H. 30, W. 40 in. (76.2 x 101.6 cm)","","Oil on Masonite","","Paintings","","American","","Grant Wood","Arthur Hoppock Hearn Fund, 1950"
"","","George Washington","1749","1831","1782","1782","1 1/2 x 1 in. (3.8 x 2.5 cm)","","Watercolor on ivory","","Paintings","","American","","James Peale","Purchase, Lila Acheson Wallace Gift, 2006"
"","","Sketchbook of Italian Landscape Subjects","1828","1891","1869","1869","Cover: 4 3/4 x 9 1/4 in. (12.1 x 23.5 cm) Sheets: 4 7/16 x 8 7/8 in. (11.3 x 22.5 cm)","","Drawings in watercolor, graphite, and white gouache on blue wove paper, bound in cloth-covered boards","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","Study for Hibernation","1922","1997","1947","1947","H. 11-1/2, W. 20 inches (29.2 x 50.8 cm.)","","Watercolor, ink, and gouache on paper","","Drawings","","American","","Theodoros Stamos","Anonymous Gift, in memory of Mr. and Mrs. Theodoros Stamatelos, 1991"
"","","Bread and Bricks","1924","MetDoesntKnow","1984","1984","H. 24, W. 30 inches (61.2 x 76.2 cm.)","","Oil on canvas","","Paintings","","American","","Jane Freilicher","Gift of Dr. and Mrs. Robert E. Carroll, 1986"
"","","Last of the Wild Horses","1903","1946","1937","1937","40 x 100in. (101.6 x 254cm) 45 1/4 x 105 1/2 x 2 in. (114.9 x 268 x 5.1 cm) (Frame)","","Oil on canvas","","Paintings","","American","","Frank Mechau","George A. Hearn Fund, 1938"
"","","Study for Sculpture","1906","2004","1936","1936","H. 23-3/4, W. 17-7/8 inches (60.3 x 45.4 cm.)","","Gouache on paper","","Drawings","","American","","Charles Biederman","Edith C. Blum Fund, 1980"
"","","Courtyard III","1871","1956","1949","1949","H. 23-1/2, W. 18-1/2 inches (59.7 x 47 cm.)","","Oil on canvas","","Paintings","","American","","Lyonel Charles Feininger","Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967"
"","","Little Cherry","1880","1966","1965","1965","H. 85-1/4, W. 78-3/8 inches (216.5 x 199.1 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Hans Hofmann","Bequest of Renate Hofmann, 1992"
"","","The Lady's Flowers","1927","MetDoesntKnow","1953","1953","85 1/2 x 72 1/4 in. (217.2 x 183.5 cm)","","Oil and newspaper on canvas","","Paintings","","American","","Alfred Leslie","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Untitled, Number 11","1918","1988","1956?","1959","H. 48, W. 36 inches (121.9 x 91.4 cm.)","","Oil on Masonite","","Paintings","","American","","Ronald Bladen","Anonymous Gift, 1989"
"","","That Which Is Delicious","1952","MetDoesntKnow","1976","1976","63 5/8 x 50 1/4in. (161.6 x 127.6cm)","","Acrylic on canvas","","Paintings","","American","","Clifford Ross","Anonymous Gift, 1978"
"","","Corner","1911","MetDoesntKnow","1941","1941","H. 15, W. 20 inches (38.1 x 50.8 cm.)","","Gouache on paper","","Drawings","","American","","Isobel Bates","Gift of New York City W. P. A., 1943"
"","","In Mischief","1838","1909","1870?","1870?","21 x 13 1/2 in. (55.3 x 34.3 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Walter Shirlaw","Bequest of Katherine S. Dreier, 1952"
"","","Augustus Saint-Gaudens","1856","1919","1887,replica1908","1887,replica1908","33 1/2 x 47 1/8 in. (85.1 x 119.7 cm)","","Oil on canvas","","Paintings","","American","","Kenyon Cox","Gift of friends of the artist, through August F. Jaccaci, 1908"
"","","Rachel Brewer Peale","1741","1827","1791?","1791?","2 1/4 x 1 13/16 in. (5.7 x 4.6 cm)","","Watercolor on ivory in gilded copper case; hair reserve verso","","Paintings","","American","","Charles Willson Peale","Gift of J. William Middendorf II, 1968"
"","","Lake Como, May 3, 1869 (from Sketchbook)","1828","1891","1869","1869","4 1/2 x 9 in. (11.4 x 22.9 cm)","","Graphite, white gouache, on blue paper","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","Untitled (Composition Studies)","1912","1956","1938?","1941","H. 10-7/8, W. 20 inches (27.6 x 50.8 cm.)","","Gouache and watercolor on cardboard","","Drawings","","American","","Jackson Pollock","Gift of Lee Krasner Pollock, 1982"
"","","The Old Barn","1853","1921","1906","1906","24 1/4 x 36 1/8 in. (61.6 x 91.8 cm)","","Oil on canvas","","Paintings","","American","","John Francis Murphy","George A. Hearn Fund, 1907"
"","","Arrow","1902","1982","1955","1955","H. 52, W. 68 inches (130.2 x 172.7 cm.)","","Oil on canvas","","Paintings","","American","","Kenzo Okada","The Edward Joseph Gallagher III Memorial Collection, Gift of Edward J. Gallagher, Jr., 1956"
"","","Fence: Westport","1943","MetDoesntKnow","1999","2002","69 5/8 x 64 7/8 in. (176.8 x 164.8 cm)","","Oil on canvas","","Paintings","","American","","Ellen Phelan","The Raymond and Beverly Sackler 21st Century Art Fund, 2002"
"","","Theorem Painting","MetDoesntKnow","MetDoesntKnow","1805","186","5 1/2 x 7 3/4 in. (14 x 19.7 cm)","","Painted cotton velveteen","","Textiles","","MetDoesntKnow","","Mary Gregory","Gift of Elizabeth M. Riley, 1997"
"","","Self-Portrait, Number 1","1902","1988","1927?","1927?","H. 18-1/8, W. 14 inches (46 x 35.6 cm.)","","Oil on canvas","","Paintings","","American","","Isabel Bishop","Purchase, Gift of Professor and Mrs. Zevi Scharfstein, by exchange, 1996"
"","","Project for a room in the house of Wright S. Ludington, Santa Barbara, California","1899","1972","1938","1938","H. 10-5/16, W. 16-1/4 inches (27 x 41.3 cm.)","","Gouache on paper","","Drawings","","MetDoesntKnow","","Eugene Berman","Gift of Elisabeth I. Campbell Clarke, 1965"
"","","Untitled","1904","1989","1958","1959","66 x 76 in. (167.6 x 193 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Giorgio Cavallon","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Portrait of Stephen Mazoh","1928","1987","1974","1974","40 x 40 in. (101.6 x 101.6 cm)","","Acrylic and silkscreen on canvas","","Paintings","","American","","Andy Warhol","Gift of Stephen Mazoh, 2004"
"","","Saturday Morning","1942","MetDoesntKnow","1987","1987","H. 26-1/4, W. 34-1/8 inches (66.7 x 86.7 cm.)","","Gouache on paper with painted papier-m�ch� frame","","Drawings","","American","","Willie Birch","Kathryn E. Hurd Fund, 1992"
"","","Percolator","1892","1964","1927","1927","H. 36, W. 29 inches (91.4 x 73.7 cm.)","","Oil on canvas","","Paintings","","American","","Stuart Davis","Arthur Hoppock Hearn Fund, 1956"
"","","Spanish Landscape","1856","1925","1879","1880","10 1/4 x 13 5/8 in. (26 x 34.6 cm)","","Oil on wood","","Paintings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Life Cycle II","1957","MetDoesntKnow","2000","2000","43 1/8 x 80in. (109.5 x 203.2cm) 45 x 82 x 3 in. (114.3 x 208.3 x 7.6 cm) (Frame)","","Oil on Masonite","","Paintings","","American","","Scott Fraser","Gift of Gregory J. Peterson, 2000"
"","","Male and Female Models Sitting on the Floor","1924","MetDoesntKnow","1964","1964","60 x 48in. (152.4 x 121.9cm)","","Oil on canvas","","Paintings","","American","","Philip Pearlstein","Purchase, The Mrs. Claus von Bulow Fund Gift, 1987"
"","","George Wood","1770?","1843","null","null","2 7/8 x 2 3/8 in. (7.3 x 6 cm)","","Watercolor on media","","Paintings","","MetDoesntKnow","","Benjamin Trott","Gift of Gloria Manney, 2006"
"","","Claremont Avenue","1876","1958","1912","1912","16 3/8 x 20 3/8 in. (41.6 x 51.8 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Hayley Lever","Gift of Rita and Daniel Fraad, 1978"
"","","Two Palettes (Sears, Roebuck; Francis Picabia)","1935","MetDoesntKnow","1963","1963","Overall: 93 1/2 x 120 in. (237.5 x 304.8 cm). Two panels, each: 93 1/2 x 60 in. (237.5 x 152.4 cm)","","Oil, acrylic, enamel, and charcoal on primed canvas","","Paintings","","American","","Jim Dine","Purchase, George A. Hearn Fund and Milly and Arne Glimcher Gift, 1994"
"","","Artist and Art","1914","1999","1966","1966","H. 28, W. 22 inches (71.1 x 55.9 cm.)","","Ink, pastel, wash, oil and graphite on paper","","Drawings","","MetDoesntKnow","","Saul Steinberg","Gift of Mr. and Mrs. Daniel H. Silberberg, 1966"
"","","La Mere Adele (Cordon Bleu)","1858","1933","by1911","by1911","30 x 24 in. (76.2 x 61 cm)","","Oil on canvas","","Paintings","","American","","Robert W. Vonnoh","George A. Hearn Fund, 1923"
"","","Cypress and Poppies","1836","1923","1880?","1890","9 3/4 x 20 in. (24.8 x 50.8 cm)","","Oil on canvas","","Paintings","","American","","Elihu Vedder","Gift of Iola Stetson Haverstick, 1982"
"","","Showcase","1922","2008","1955","1955","H. 69-3/16, W. 80-1/4 inches (175.8 x 203.8 cm.)","","Oil on canvas","","Paintings","","American","","Grace Hartigan","Purchase, Roy R. and Marie S. Neuberger Foundation Inc. Gift, 1956"
"","","Design for a quatrefoil","1848","1933","late19th","early20thcentury","Overall: 10 7/8 x 11 1/4 in. (27.6 x 28.6 cm)","","Watercolor, gouache, red colored pencil, and graphite on artist board in original warm grey window matt with shaped tracery","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Interior, Evening","1876","1964","1924","1924","30 1/8 x 40 in. (76.5 x 101.6 cm)","","Oil on canvas","","Paintings","","American","","John Christen Johansen","Arthur Hoppock Hearn Fund, 1925"
"","","Design for hanging lantern","1848","1933","late19th","early20thcentury","Overall: 22 x 14 15/16 in. (55.9 x 37.9 cm) Other (Design): 15 15/16 x 10 7/8 in. (40.5 x 27.6 cm)","","Graphite, colored pencils, and yellow gouache on tissue mounted on heavy paper.","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Design for chandelier","1848","1933","late19th","early20thcentury","null","","Watercolor, gouache, graphite, and colored pencil on tissue mounted on board.","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Family Supper (Saying Grace)","1888","1946","1946","1946","H. 18, W. 22 inches (45.7 x 55.9 cm.)","","Oil on canvas","","Paintings","","American","","Horace Pippin","Bequest of Jane Kendall Gingrich, 1982"
"","","Pine Grove of the Barberini Villa","1825","1894","1876","1876","78 3/4 x 118 1/2 in. (200 x 301 cm)","","Oil on canvas","","Paintings","","American","","George Inness","Gift of Lyman G. Bloomingdale, 1898"
"","","Entrances","1961","MetDoesntKnow","2000","2000","19 x 16 5/8 in. (48.3 x 42.2 cm)","","Oil, wax, and ink on paper","","Drawings","","American","","Tremain Smith","Purchase, Gift of the Glickstein Foundation, by exchange, 2000"
"","","Variant: 2 Whites, 2 Yellows, 2 Greens","1888","1976","1947","1957","H. 39-7/8, W. 37 inches (101.3 x 94 cm.)","","Oil on Masonite","","Paintings","","MetDoesntKnow","","Josef Albers","Gift of the artist, 1972"
"","","Mrs. Thomas Hicks","1823","1890","1884?","1884?","46 x 29 in. (116.8 x 73.7 cm)","","Oil on canvas","","Paintings","","American","","Thomas Hicks","Bequest of Angie King Hicks, 1917"
"","","The Cotton Club From Under the Viaduct at Riverside Drive and St. Clair Place","1939","MetDoesntKnow","2003","2003","34 x 66 1/4 in. (86.4 x 168.3 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Rackstraw Downes","Purchase, Mrs. Derald Ruttenberg Gift, 2005"
"","","Notre Dame, Paris","1884","1930","1925","1925","H. 25-5/8, W. 31-7/8 inches (65.1 x 81 cm.)","","Oil on canvas","","Paintings","","American","","Samuel Halpert","Anonymous Gift, 1938"
"","","Bay of Uri, Brunnen (from Switzerland 1870 Sketchbook)","1856","1925","June4,1870","June4,1870","8 x 11 1/8 in. (20.3 x 28.3 cm)","","Watercolor, gouache, and graphite on off-white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Design for Window","1848","1933","late19th","early20thcentury","Overall: 21 9/16 x 10 1/2 in. (54.8 x 26.7 cm) Design: 14 1/4 x 5 9/16 in. (36.2 x 14.1 cm)","","Watercolor, gouache, and graphite on paper mounted on board in original matt","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Madame Jerome Bonaparte (Elizabeth Patterson)","1783","1872","1805?","1810","3 13/16 x 3 1/2 in. (9.7 x 8.9 cm)","","Watercolor on ivory","","Paintings","","American","","Attributed to Thomas Sully","Purchase, Dodge Fund and funds from various donors, 2000"
"","","Flight Into Egypt","1859","1937","1923","1923","29 x 26 in. (73.7 x 66 cm)","","Oil on canvas","","Paintings","","American","","Henry Ossawa Tanner","Marguerite and Frank A. Cosgrove Jr. Fund, 2001"
"","","George Washington before the Battle of Trenton","1756","1843","1792?","1794","26 1/2 x 18 1/2 in. (67.3 x 47 cm)","","Oil on canvas","","Paintings","","American","","John Trumbull","Bequest of Grace Wilkes, 1922"
"","","Table and Two Chairs","1888","1946","1946","1946","H. 9, W. 11 inches (22.9 x 27.9 cm.)","","Oil on canvas","","Paintings","","American","","Horace Pippin","Bequest of Jane Kendall Gingrich, 1982"
"","","Baby with Rattle and Dog","1809","1854","1842","1842","4 1/2 x 3 1/2 in. (11.4 x 8.9 cm)","","Watercolor and gouache on ivory","","Paintings","","MetDoesntKnow","","Attributed to Mrs. Moses B. Russell","Purchase, The Overbrook Foundation, Robert and Bobbie Falk Philanthropic Fund, and Lois and Arthur Stainman Philanthropic Fund Gifts, 1999"
"","","Portrait of a Lady","1801","1846","1827?","1827?","3 x 2 in. (7.6 x 5.1 cm)","","Watercolor on ivory","","Paintings","","American","","Henry Inman","Purchase, William Cullen Bryant Fellows Gifts, 2003"
"","","Mrs. William Wortley Worsley (Rebecca Smith)","1783","1872","1805","1805","2 13/32 x 1 5/16 in. (6.1 x 3.3 cm)","","Watercolor on ivory","","Paintings","","American","","Thomas Sully","Rogers Fund, 1944"
"","","Model Undressing","1909","1978","1962","1962","H. 18, W. 24 inches (45.7 x 61 cm.)","","Oil on canvas","","Paintings","","American","","John Koch","Gift of Sylvia Orkin, in memory of Lazarus A. Orkin, M.D., 1991"
"","","American Landscape: Trunk Series","1944","MetDoesntKnow","1981","1981","H. 40, W. 30 inches (101.6 x 76.2 cm.)","","Graphite, oil and graphite on paper","","Drawings","","American","","William Dunlap","Gift of the artist, 1990"
"","","Williamsburg","1895","1979","1939?","1939?","H. 26-1/2, W. 40 inches (67.3 x 101.6 cm.)","","Oil on canvas","","Paintings","","American","","Ralph Mayer","Purchase, Clarence Y. Palitz Jr. Gift, in memory of Clarence Y. Palitz Sr., 1983"
"","","Evening at the Lock, Napanoch, New York","1852","1896","1893","1893","22 x 32 in. (55.9 x 81.3 cm)","","oil on canvas","","Paintings","","MetDoesntKnow","","Theodore Robinson","Gift of The Manoogian Foundation, 2011"
"","","Peaceable Kingdom","1780","1849","1830?","1832","17 7/8 x 23 7/8 in. (45.4 x 60.6 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Edward Hicks","Gift of Edgar William and Bernice Chrysler Garbisch, 1970"
"","","Brazilian Landscape","1952","MetDoesntKnow","1980","1980","69 x 48in. (175.3 x 121.9cm)","","Acrylic and charcoal on canvas","","Paintings","","American","","Clifford Ross","Gift of Gill and Tommy LiPuma, 1984"
"","","Design for Te Deum window","1848","1933","1914","1914","Overall: 18 7/8 x 15 11/16 in. (48 x 39.8 cm)","","Watercolor, gouache, graphite, and silver gelatin photograph on artist board in original warm grey window matt with shaped tracery","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Melusine del Gufo","1930","MetDoesntKnow","1989","1990","2 panels each H. 80, W. 62 in. (203.2 x 157.5 cm)","","Oil on canvas","","Paintings","","American","","James McGarrell","Gift of Stephen L. Lindsey, 1999"
"","","The Church at Gloucester","1859","1935","1918","1918","30 x 25 in. (76.2 x 63.5 cm)","","Oil on canvas","","Paintings","","American","","Childe Hassam","Arthur Hoppock Hearn Fund, 1925"
"","","Sailing at Moonlight, Samoa","1864","1941","null","null","12 3/4 x 15 3/4 in. (32.4 x 40 cm)","","Oil on wood","","Paintings","","American","","Louis Michel Eilshemius","Bequest of Charles Ikl�, 1963"
"","","Under a Cloud","1847","1917","1900?","1900?","20 x 24 in. (50.8 x 61 cm)","","Oil on canvas","","Paintings","","American","","Albert Pinkham Ryder","Gift of Alice E. Van Orden, in memory of her husband, Dr. T. Durland Van Orden, 1988"
"","","The Fountain, No. 1: The Wounded Indian Slaking His Death Thirst","1801","1848","1843","1843","7 x 9 3/4 in. (17.8 x 24.8 cm)","","Graphite and white gouache on green wove paper","","Drawings","","American","","Thomas Cole","Gift of Erving Wolf Foundation, in memory of Diane R. Wolf, 1977"
"","","Portrait of a Lady","1807","1893","1835?","1835?","2 13/16 x 2 1/4 in. (7.2 x 5.8 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","John Wood Dodge","Gift of Gloria Manney, 2006"
"","","Untitled","1922","1997","1947","1947","H. 20, W. 26 inches (50.8 x 66 cm.)","","Watercolor, ink, pastel, and gouache on paper","","Drawings","","American","","Theodoros Stamos","Anonymous Gift, in memory of Mr. and Mrs. Theodoros Stamatelos, 1991"
"","","Northeaster","1836","1910","1895;reworkedby1901","1895;reworkedby1901","34 1/2 x 50 in. (87.6 x 127 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","Gift of George A. Hearn, 1910"
"","","Homage to the Square: Frontal-Forward","1888","1976","1970","1970","H. 40, W. 40 inches (101.6 x 101.6 cm.)","","Oil on Masonite","","Paintings","","MetDoesntKnow","","Josef Albers","Gift of Douglas Dillon, 1991"
"","","Sweet Back Man","1930","2006","1996","1996","H. 22-3/4, W. 15 inches (57.8 x 38.1 cm.)","","Cut and pasted fabrics and paper, and oil paint on paper","","Drawings","","American","","Benny Andrews","Arthur Hoppock Hearn Fund, 1997"
"","","Mrs. John Hill Wheeler and Her Two Sons","1783","1872","1844","1844","51 3/4 x 61 3/4 in. (131.4 x 156.8 cm)","","Oil on canvas","","Paintings","","American","","Thomas Sully","Gift of Captain John R. Brasel, USNR, 1967"
"","","Bathers","1894","2000","1939","1939","H. 2, W. 3 inches (5.1 x 7.6 cm.)","","Gouache and watercolor on paper","","Drawings","","American","","Alfred Levitt","Gift of the artist, 1985"
"","","Jefferson Market, New York","1892","1964","1930","1930","H. 33-1/8, W. 22-1/8 inches (84.1 x 56.2 cm.)","","Oil on canvas","","Paintings","","American","","Stuart Davis","Gift of Carl D. Lobell, 1996"
"","","Psyche","1869","1938","1909","1909","37 1/4 x 29 in. (94.6 x 73.6 cm)","","Oil on canvas","","Paintings","","American","","William Sergeant Kendall","George A. Hearn Fund, 1910"
"","","The Writing Master","1844","1916","1882","1882","30 x 34 1/4 in. (76.2 x 87 cm)","","Oil on canvas","","Paintings","","American","","Thomas Eakins","John Stewart Kennedy Fund, 1917"
"","","Portrait of a Gentleman","1788","1844","1835?","1835?","2 11/16 x 2 1/8 in. (6.8 x 5.5 cm)","","Watercolor on ivory in gilded copper case; hair reserve verso","","Paintings","","American","","Nathaniel Rogers","Fletcher Fund, 2006"
"","","Design for window, Mr. J.C. Williams, All Saints Chapel, Atlanta, GA,","1848","1933","1903","1915","21 1/4 x 14 3/4 in. (54 x 37.5 cm)","","Watercolor, ink, graphite, and white gouache","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Mourning Picture","1810?","1983","null","null","null","","null","","null","","MetDoesntKnow","","Date: ca. 1810 Geography: New England Walpole New Hampshire United States Culture: American Medium: Painted watercolor and gouache on silk Dimensions: 19 x 24 1/4 in.","null"
"","","The Antiquarian","1909","1978","1954","1954","H. 16-9/16, W. 12-1/16 inches (42.1 x 30.7 cm.)","","Oil on Masonite","","Paintings","","American","","John Koch","Arthur Hoppock Hearn Fund, 1954"
"","","The Seven Deadly Sins: Envy","1904","1999","1947","1947","H. 24, W. 11-3/4 inches (61 x 29.8 cm.)","","Egg tempera on Masonite","","Paintings","","American","","Paul Cadmus","Gift of Lincoln Kirstein, 1993"
