"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.169&dim=300px","","15 1/4 x 19 3/8 in. (38.7 x 49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.41&dim=300px","","15 5/8 x 19 7/8 in. (39.7 x 50.5 cm)
Image: 8 1/2 x 13 3/8 in. (21.6 x 34 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.148&dim=300px","","22 x 27 7/8 in. (55.9 x 70.8 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.27&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.22&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.28&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.25&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.26&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.29&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.24&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Kodak chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.129.21&dim=300px","","6 x 9 in. (15.2 x 22.9 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of The Marjorie and Leonard Vernon Collection"
"Oil on linen","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.87&dim=300px","","70 x 54 in. (177.8 x 137.2 cm)","","Lisa Yuskavage","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of David Teiger"
"Color photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.28&dim=300px","","Frame: 33 3/4 x 41 1/2 x 2 in. (85.7 x 105.4 x 5.1 cm)","","Mark Wyse","The Museum of Contemporary Art, Los Angeles
Gift of Sheridan Brown"
"Pigment print on Epson Ultrasmooth Fine Art paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.26.3&dim=300px","","64 x 44 in. (162.6 x 111.8 cm)","","Robert Weingarten","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Pigment print on Epson Ultrasmooth Fine Art paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.26.1&dim=300px","","44 x 64 in. (111.8 x 162.6 cm)","","Robert Weingarten","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Pigment print on Epson Ultrasmooth Fine Art paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.26.4&dim=300px","","44 x 64 in. (111.8 x 162.6 cm)","","Robert Weingarten","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Pigment print on Epson Ultrasmooth Fine Art paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.26.2&dim=300px","","44 x 64 in. (111.8 x 162.6 cm)","","Robert Weingarten","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.54.55&dim=300px","","Image: 8 5/8 x 12 13/16 in. (21.9 x 32.5 cm)
Paper: 11 x 14 in. (27.9 x 35.6 cm)","","Garry Winogrand","The Museum of Contemporary Art, Los Angeles
The Ralph M. Parsons Foundation Photography Collection"
"Acrylic and photograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.2&dim=300px","","22 x 30 in. (55.9 x 76.2 cm)","","Amelie von Wulffen","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Scott D. F. Spiegel Endowment Fund"
"Oil and pencil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.4&dim=300px","","59 7/8 x 144 1/4 in. (152.1 x 366.4 cm)","","Mark Tansey","The Museum of Contemporary Art, Los Angeles
Gift of Steven and Patsy Tisch"
"Watercolor and collage on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.218&dim=300px","","14 x 10 3/4 in. (35.6 x 27.3 cm)","","Richard Tuttle","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.264&dim=300px","","19 x 16 1/4 in. (48.3 x 41.3 cm)
Paper: 8 x 5 in. (20.3 x 12.7 cm)","","Richard Tuttle","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Watercolor (green) and graphite on airmail paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.61.1&dim=300px","","Image: 9 x 6 in. (22.9 x 15.2 cm)","","Richard Tuttle","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Watercolor (brown) and graphite on airmail paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.61.2&dim=300px","","Image: 9 x 6 in. (22.9 x 15.2 cm)","","Richard Tuttle","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Mixed media on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.49&dim=300px","","94 x 102 in. (238.8 x 259.1 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of Irwin and Doris Osher"
"One color lithograph on Deluxe paper, edition 52/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.2&dim=300px","","Paper: 16 x 22 in. (40.6 x 55.9 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin"
"One color lithograph on Deluxe paper, edition 52/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.4&dim=300px","","Paper: 16 x 22 in. (40.6 x 55.9 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin"
"34 color lithograph/screenprint, edition 21/50","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.12.4&dim=300px","","33 7/8 x 45 7/8 in. (86 x 116.5 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of  David Gensburg"
"Honeycomb aluminum","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.94&dim=300px","","103 x 109 x 64 in. (261.6 x 276.9 x 162.6 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection"
"Eight color lithograph/screenprint on Arches paper, edition of 100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.113&dim=300px","","Paper: 22 x 17 in. (55.9 x 43.2 cm)
Frame: 22 3/4 x 17 3/4 in. (57.8 x 45.1 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of The Harold I. Huttas Family Collection"
"Woodcut, edition 3/8","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.124&dim=300px","","80 x 56 in. (203.2 x 142.2 cm)","","Norman Sunshine","The Museum of Contemporary Art, Los Angeles
Gift of The Robert Gore Rifkind Foundation"
"Woodcut, edition 2/8","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.125&dim=300px","","80 x 56 in. (203.2 x 142.2 cm)","","Norman Sunshine","The Museum of Contemporary Art, Los Angeles
Gift of The Robert Gore Rifkind Foundation"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.60&dim=300px","","Image: 22 1/4 x 22 1/4 in. (56.5 x 56.5 cm)","","Daryl Trivieri","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Photolithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.95&dim=300px","","33 1/2 x 26 5/8 in. (85.1 x 67.6 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman"
"Color photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.94&dim=300px","","16 1/4 x 23 in. (41.3 x 58.4 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.37&dim=300px","","83 1/4 x 47 1/4 in. (211.5 x 120 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Councilman Joel Wachs"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.64&dim=300px","","31 x 46 in. (78.7 x 116.8 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Carbon on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.18&dim=300px","","Paper: 19 x 26 in. (48.3 x 66 cm)
Frame: 22 1/2 x 27 1/2 x 1 in. (57.2 x 69.9 x 2.5 cm)","","Frances Stark","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the friends of Marsha Kleinman in her memory"
"Carbon and gesso on rice paper with linen tape","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.285&dim=300px","","36 1/4 x 24 1/2 in. (92.1 x 62.2 cm)","","Frances Stark","The Museum of Contemporary Art, Los Angeles
Gift of Dean Valentine and Amy Adelson"
"Carbon on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.19&dim=300px","","40 x 30 in. (101.6 x 76.2 cm)","","Frances Stark","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the friends of Marsha Kleinman in her memory"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.9&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.4&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.15&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.2&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.11&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.8&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.6&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.13&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Gelatin silver print, edition 7/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.13.5&dim=300px","","19 1/2 x 23 in. (49.5 x 58.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen"
"Seventy-five mixed-media stains on Eagle Coupon Bond 100% cotton paper, plus one stain on white silk moiré fabric, boxed in portfolio, edition 28/70","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.239&dim=300px","","Portfolio Box: 12 x 10 1/2 x 1 in. (30.5 x 26.7 x 2.5 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee"
"Gelatin silver print, edition 7/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.13.4&dim=300px","","19 1/2 x 23 in. (49.5 x 58.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen"
"Gunpowder on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.200&dim=300px","","13 x 21 1/2 in. (33 x 54.6 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Gelatin silver print, edition 7/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.13.6&dim=300px","","19 1/2 x 23 in. (49.5 x 58.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen"
"Chocolate on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.86&dim=300px","","Each: 27 1/2 x 17 7/8 in. (69.9 x 45.4 cm)
Installation dimensions variable","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee"
"Gelatin silver print, edition 7/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.13.7&dim=300px","","19 1/2 x 23 in. (49.5 x 58.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen"
"Lithograph on paper, edition 82/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.159&dim=300px","","33 x 28 1/2 in. (83.8 x 72.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Lithograph on paper, edition of 55","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.156&dim=300px","","37 x 31 1/2 in. (94 x 80 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Silkscreen on paper, edition 73/75","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.155&dim=300px","","17 1/4 x 50 1/4 in. (43.8 x 127.6 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Lithograph, edition 89/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.57&dim=300px","","Frame: 21 1/4 x 27 1/2 x 1 1/4 in. (54 x 69.9 x 3.2 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Wells Fargo Bank, Los Angeles"
"Silkscreen on paper, edition 5/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.27&dim=300px","","Paper: 19 1/2 x 48 in. (49.5 x 121.9 cm)
Image: 13 3/4 x 42 1/4 in. (34.9 x 107.3 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Adrienne Barbeau"
"Gelatin silver print, edition 7/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.13.1&dim=300px","","19 1/2 x 23 in. (49.5 x 58.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen"
"Acrylic on raw canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.31&dim=300px","","21 1/4 x 30 7/8 in. (54 x 78.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen and the artist"
"Acrylic and oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.51&dim=300px","","72 x 72 in. (182.9 x 182.9 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Jane and Marc Nathanson"
"Portfolio of six organic screenprints, edition 125","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.5A-F&dim=300px","","Each: 23 1/16 x 31 7/8 in. (58.6 x 81 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Dia M. Dorsey"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.12&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.1&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.18&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.3&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.7&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.14&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.5&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.16&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Wood, fabric and enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.71&dim=300px","","11 x 11 x 12 1/2 in. (27.9 x 27.9 x 31.8 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Wood, nylon stocking, resin, steel rings, and wire","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.72&dim=300px","","105 x 13 x 5 in. (266.7 x 33 x 12.7 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Stained wood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.70&dim=300px","","14 x 14 x 15 in. (35.6 x 35.6 x 38.1 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Enamel on wood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.69&dim=300px","","13 x 10 1/2 x 13 in. (33 x 26.7 x 33 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Wood, nylon stocking, resin, and adjustable steel rod","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.73&dim=300px","","8 x 80 x 90 in. (20.3 x 203.2 x 228.6 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.15&dim=300px","","93 1/8 x 81 in. (236.5 x 205.7 cm)","","Mark Rothko","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.26&dim=300px","","55 3/8 x 43 1/4 in. (140.7 x 109.9 cm)","","Mark Rothko","The Museum of Contemporary Art, Los Angeles
The Rita and  Taft Schreiber Collection
Given in loving memory of her husband, Taft Schreiber, by Rita Schreiber"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.27&dim=300px","","68 x 60 in. (172.7 x 152.4 cm)","","Mark Rothko","The Museum of Contemporary Art, Los Angeles
Gift of The Mark Rothko Foundation, Inc."
"Silkscreen and color lithograph on Magnani Pescia paper, edition of 30; PP II/II","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.76.2&dim=300px","","Paper: 13 1/2 x 9 3/4 in. (34.3 x 24.8 cm)","","Kay Rosen","The Museum of Contemporary Art, Los Angeles
Gift of Hudson"
"Silkscreen on Arches 88 paper, edition of 25; TP IV/IV","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.74.2&dim=300px","","Paper: 30 1/4 x 22 1/2 in. (76.8 x 57.2 cm)","","Kay Rosen","The Museum of Contemporary Art, Los Angeles
Gift of Hudson"
"Silkscreen on paper, edition 2/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.73&dim=300px","","17 x 11 in. (43.2 x 27.9 cm)","","Kay Rosen","The Museum of Contemporary Art, Los Angeles
Gift of Hudson"
"Relief etching on Rives BFK paper, edition 20/27","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.75&dim=300px","","Paper: 25 1/2 x 19 1/2 in. (64.8 x 49.5 cm)","","Kay Rosen","The Museum of Contemporary Art, Los Angeles
Gift of Hudson"
"Sign paint on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.77&dim=300px","","17 1/2 x 11 1/4 in. (44.5 x 28.6 cm)","","Kay Rosen","The Museum of Contemporary Art, Los Angeles
Gift of Hudson"
"Silkscreen on lead","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.37&dim=300px","","21 7/8 x 14 in. (55.6 x 35.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Ten offset posters, edition of 30","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.62A-J&dim=300px","","Each: 22 x 14 in. (55.9 x 35.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Dr. and Mrs. Merle S. Glick"
"5 color photographs and 5 sheets of paper with type, edition 3/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.76&dim=300px","","Frame: 29 3/8 x 60 3/8 x 1 1/2 in. (74.6 x 153.4 x 3.8 cm)
Each (Photograph): 10 x 8 in. (25.4 x 20.3 cm)
Each (Paper): 10 1/4 x 8 1/2 in. (26 x 21.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee and the Photography Committee"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.61&dim=300px","","20 x 24 in.","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Dr. and Mrs. Merle S. Glick"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.102&dim=300px","","29 x 23 in. (73.7 x 58.4 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn"
"Mixed media","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.68&dim=300px","","72 x 72 in. (182.9 x 182.9 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Judy and Stuart Spence"
"Acrylic on canvas with ten concrete heads","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.39&dim=300px","","Each: 96 x 66 in. (243.8 x 167.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of an anonymous donor and the artist"
"Untitled , 1998","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.52&dim=300px","","Acetate and acrylic with silkscreen","","Larry Johnson","13 1/4 x 21 3/4 in. (33.7 x 55.2 cm)"
"12 color photographs and 2 sheets of paper with type, edition 3/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.75A-D&dim=300px","","Each (Photograph): 3 1/2 x 3 1/2 in. (8.9 x 8.9 cm)
Each (Paper): 11 x 8 1/2 in. (27.9 x 21.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee and the Photography Committee"
"Silkscreen on lead","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.36&dim=300px","","21 7/8 x 14 in. (55.6 x 35.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Wood, fabric and enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.71&dim=300px","","11 x 11 x 12 1/2 in. (27.9 x 27.9 x 31.8 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Wood, nylon stocking, resin, steel rings, and wire","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.72&dim=300px","","105 x 13 x 5 in. (266.7 x 33 x 12.7 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Stained wood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.70&dim=300px","","14 x 14 x 15 in. (35.6 x 35.6 x 38.1 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Enamel on wood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.69&dim=300px","","13 x 10 1/2 x 13 in. (33 x 26.7 x 33 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
