"Artist_uri","Object_URI","Label_on_page","origin","title","image_url","dates","birth_year","death_year","dimension","technique_uri","technique","label_type_uri","origin_type_uri","nationality_uri","nationality","Artist_appellation_uri","name","credit_line"
"","","","Made in United States, North and Central America","Career Woman","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg","1993","","","Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm)","","Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in Ojai, California, United States, North and Central America","Clytemnestra","http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg","c. 1950","","","10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm)","","Glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Beatrice…..Pourquoi!","http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg","c. 1917","","","Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm)","","Crayon and pen and black ink over graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","Purchased with funds contributed by the Womens Committee and the Craft Show Committee of the Philadelphia Museum of Art, 1984","Made in California, United States, North and Central America","Bowl","http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg","1948-50","","","4 1/2 x 8 1/2 inches (11.4 x 21.6 cm)","","Luster-glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Career Woman","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg","1993","","","Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm)","","Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in Ojai, California, United States, North and Central America","Clytemnestra","http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg","c. 1950","","","10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm)","","Glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Enormitées se disent dans un salon","http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg","c. 1917-18","","","Sheet: 13 x 8 inches (33 x 20.3 cm)","","Pen and black ink, colored pencil and colored crayon over graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Evening at Arensbergs","http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg","1930","","","Sheet: 13 x 16 inches (33 x 40.6 cm)","","Watercolor, ink, and graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","L'Après Midi D'Un Faun","http://www.philamuseum.org/images/cad/large/1978-99-26.jpg","c. 1917-18","","","Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm)","","Pen and brown ink and colored crayon on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in Ojai, California, United States, North and Central America","Love Boat","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg","1993","","","14 1/2 x 10 inches (36.8 x 25.4 cm)","","Earthenware with glaze, lustre","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Non","http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg","c. 1917-18","","","Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm)","","Pen and black ink, colored pencil and graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in Ojai, California, United States, North and Central America","Vase","http://www.philamuseum.org/images/cad/large/1996-3-1-neh.jpg","c. 1940","","","3 7/8 x 2 1/8 inches (9.8 x 5.4 cm)","","Glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in New York City, New York, United States, North and Central America","The Blind Man (No.2)","http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg","May 1917","","","Sheet (each): 11 x 8 inches (27.9 x 20.3 cm)","","Periodical with paper covers","","","","American","","Published by Beatrice Wood","The Louise and Walter Arensberg Collection, 1950"
"","","Purchased with funds contributed by the Womens Committee and the Craft Show Committee of the Philadelphia Museum of Art, 1984","Made in California, United States, North and Central America","Bowl","http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg","1948-50","","","4 1/2 x 8 1/2 inches (11.4 x 21.6 cm)","","Luster-glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in Ojai, California, United States, North and Central America","Clytemnestra","http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg","c. 1950","","","10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm)","","Glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Career Woman","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg","1993","","","Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm)","","Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Enormitées se disent dans un salon","http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg","c. 1917-18","","","Sheet: 13 x 8 inches (33 x 20.3 cm)","","Pen and black ink, colored pencil and colored crayon over graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Evening at Arensbergs","http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg","1930","","","Sheet: 13 x 16 inches (33 x 40.6 cm)","","Watercolor, ink, and graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in Ojai, California, United States, North and Central America","Love Boat","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg","1993","","","14 1/2 x 10 inches (36.8 x 25.4 cm)","","Earthenware with glaze, lustre","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","Known as the ""Mama of Dada,"" Beatrice Wood began her long artistic life among Dada circles in Paris and New York, where she was associated with Marcel Duchamp and Man Ray. Wood first began working in ceramics in her forties, after moving to Ojai, California, where she became fascinated with the luster glazes used by Persian and Mediterranean potters, and studied the technique with Otto Natzler. Over a fifty-year career, she continued to experiment with different luster effects, marrying sumptuous colors and shimmering surfaces to bold, simple vessels. Chalice typifies the intentionally naive, unschooled quality that Wood sought in her work.","Made in Ojai, California, United States, North and Central America","Goblet","http://www.philamuseum.org/images/cad/large/1992-18-2.jpg","c. 1975","","","12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm)","","Luster-glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","L'Après Midi D'Un Faun","http://www.philamuseum.org/images/cad/large/1978-99-26.jpg","c. 1917-18","","","Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm)","","Pen and brown ink and colored crayon on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in New York City, New York, United States, North and Central America","The Blind Man (No.2)","http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg","May 1917","","","Sheet (each): 11 x 8 inches (27.9 x 20.3 cm)","","Periodical with paper covers","","","","American","","Published by Beatrice Wood","The Louise and Walter Arensberg Collection, 1950"
"","","","Made in United States, North and Central America","Beatrice and Her Twelve Children","http://www.philamuseum.org/images/cad/large/1978-98-4-pma.jpg","1917","","","Sheet: 8 3/8 x 10 7/8 inches (21.3 x 27.6 cm)","","Watercolor, gouache, ink, and crayon on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Beatrice…..Pourquoi!","http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg","c. 1917","","","Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm)","","Crayon and pen and black ink over graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in Ojai, California, United States, North and Central America","""Blindman"" Pin","http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg","1996","","","4 1/2 x 3 1/2 inches (11.4 x 8.9 cm)","","Silver","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","Interested in designing a stylish, inexpensive chair, Rashid borrowed the curves, open spaces, and translucent polypropylene material from his ""Garbo"" wastebasket to create ""Oh."" When introduced in January of 1999 at the price of forty-five dollars, the chair found a ready market; fifty thousand ""Oh"" chairs sold in the first three weeks of availability.","Made in Canada, North and Central America","""Oh"" Chair Prototype","http://www.philamuseum.org/images/cad/large/2000-155-1v1-pma.jpg","Designed 1998","","","34 x 24 x 24inches (86.4 x 61 x 61cm)
Height (to seat): 17 inches (43.2 cm)","","Polypropylene, powder-coated steel","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Totem Design Group, 2000"
"","","Made of a metal alloy originally used in the aerospace industry that does not chip, crack, peel, break, or tarnish and retains heat and cold, this object was manufactured relatively inexpensively using digital production technologies.","Made in Santa Fe, New Mexico, United States, North and Central America","""Jimmy"" Sugar Bowl","http://www.philamuseum.org/images/cad/large/1999-105-1-pma.jpg","Designed 1995","","","Height: 4 inches (10.2 cm)","","Metal alloy","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Nambé, 1999"
"","","","Made in Ojai, California, United States, North and Central America","Iphigenia","http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg","c. 1950","","","7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm)","","Glazed earthenware","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","Made of a metal alloy originally used in the aerospace industry that does not chip, crack, peel, break, or tarnish and retains heat and cold, this object was manufactured relatively inexpensively using digital production technologies.","Made in Santa Fe, New Mexico, United States, North and Central America","""Jimmy"" Creamer","http://www.philamuseum.org/images/cad/large/1999-105-2-pma.jpg","Designed 1995","","","Height: 4 inches (10.2 cm)","","Metal alloy","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Nambé, 1999"
"","","","Made in Canada, North and Central America","""Gyro"" Wall Clock","http://www.philamuseum.org/images/cad/large/1999-107-1.jpg","1992","","","Diameter: 11 inches (27.9 cm)","","Spun aluminum","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Umbra, Ltd., 1999"
"","","Its name a blend of Hollywood and garbage, the sculptural, translucent ""Garbo"" wastebasket that Rashid designed for Umbra in 1995 has also been used variously as a clothes hamper, flower vase, and champagne cooler. For Rashid, its highly tactile polypropylene material proved an excellent medium in which to explore ideas of dematerialization. ""You feel in a sense that there is very little there,"" he said of Garbo, ""yet it is so flexible that basically it's indestructible.""","Made in Canada, North and Central America","""Garbo"" Can","http://www.philamuseum.org/images/cad/large/1999-107-3-neh.jpg","Designed 1995","","","17 x 13 x 13 1/2 inches (43.2 x 33 x 34.3 cm)","","Molded high-impact virgin polypropylene","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Umbra, Ltd., 1999"
"","","","Made in Canada, North and Central America","""Garbino"" Can","http://www.philamuseum.org/images/cad/large/1999-107-4-pma.jpg","Designed 1996","","","13 x 10 x 10 1/2 inches (33 x 25.4 x 26.7 cm)","","Molded polypropylene","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Umbra, Ltd., 1999"
"","","The ""Aura"" table's glass sheets are manually colored with water-based paints. Each sheet can be placed on any level and rotated to create twenty-four configurations.","Made in United States, North and Central America","""Aura"" Table","http://www.philamuseum.org/images/cad/large/1999-154-1.jpg","Designed 1990 (restyled 1997)","","","18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm)","","Metal, glass","","","","Canadian(bornEgypt)","","Karim Rashid","Gift of Curvet USA, 1999"
"","","This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg","Designed 1960s","","","open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in United States, North and Central America","""Akari"" Floor Lamp","http://www.philamuseum.org/images/cad/large/1979-87-5-pma.jpg","Designed 1975","","","63 x 23 inches (160 x 58.4 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in United States, North and Central America","""Akari"" Floor Lamp","http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg","Designed 1976","","","47 x 22 inches (119.4 x 55.9 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","The sculptor Isamu Noguchi designed this lamp, one of a series inspired by traditional Japanese lanterns. He named the lamps akari, which means ""the light of illumination"" and ""the essence of lightness.""","Made in United States, North and Central America","""Akari"" Floor Lamp","http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg","Designed 1975","","","open: 45 x 32 inches (114.3 x 81.3 cm)
closed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm)","","Mulberry bark paper, bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in United States, North and Central America","""Chippendale"" Chair","http://www.philamuseum.org/images/cad/large/1985-94-4.jpg","Designed 1978-84; made 1985","","","37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)","","Bent laminated wood; plastic laminate","","","","American","","Designed by Robert Venturi","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1985"
"","","","Made in Ojai, California, United States, North and Central America","""Blindman"" Pin","http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg","1996","","","4 1/2 x 3 1/2 inches (11.4 x 8.9 cm)","","Silver","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","Non","http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg","c. 1917-18","","","Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm)","","Pen and black ink, colored pencil and graphite on wove paper","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","","Made in United States, North and Central America","""Chippendale"" Chair","http://www.philamuseum.org/images/cad/large/1985-94-4.jpg","Designed 1978-84; made 1985","","","37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)","","Bent laminated wood; plastic laminate","","","","American","","Designed by Robert Venturi","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1985"
"","","","Made in East Greenville, Pennsylvania, United States, North and Central America","""A3"" Work Station","http://www.philamuseum.org/images/cad/large/2004-37-1a--o.jpg","Designed 1999-2001; manufactured 2003","","","6 feet 1 inches x 9 feet 2 inches x 6 feet 10 inches (185.4 x 279.4 x 208.3 cm)","","Tubular steel, metal, plastic, laminated wood","","","","NewYork","","Designed by Asymptote","Gift of Lisa S. Roberts in honor of Eric Rymshaw and James Fulton, 2004"
"","","","Made in Youngstown, Ohio, United States, North and Central America","""40-in-4"" Stacking Chair","http://www.philamuseum.org/images/cad/large/1972-226-1v1-pma.jpg","1964","","","30 x 20 1/4 x 21 1/2 inches (76.2 x 51.4 x 54.6 cm)","","Steel, plastic","","","","American","","Designed by David Rowland","Gift of David Rowland, 1972"
"","","","Made in Albany, New York, United States, North and Central America","Flask","http://www.philamuseum.org/images/cad/large/1938-23-217-ov.jpg","1847-50","","","Height: 7 inches (17.8 cm)","","Bluet non-lead glass (blown-molded)","","","","Albany","","Made by Albany Glass Works","The George H. Lorimer Collection, 1938"
"","","","Possibly made in Pittsburgh, Pennsylvania, United States, North and Central America","Flask in the Form of a Scroll","http://www.philamuseum.org/images/cad/large/1938-23-168-ov.jpg","1851-70","","","Height: 6 1/2 inches (16.5 cm)","","Non-lead glass (aqua)","","","","Pittsburgh","","Possibly made by Adams and Company","The George H. Lorimer Collection, 1938"
"","","","Made in Bellaire, Ohio, United States, North and Central America","Napkin Holder with Salt and Pepper","http://www.philamuseum.org/images/cad/large/1928-95-365-neh.jpg","1880-90","","","5 3/16 x 4 13/16 x 4 inches (13.2 x 12.2 x 10.2 cm)","","Non-lead amber glass (pressed)","","","","Bellaire","","Made by Aetna Glass and Manufacturing Company","The Elizabeth Wandell Smith Collection, 1928"
"","","","Made in Pittsburgh, Pennsylvania, United States, North and Central America","Bread Tray","http://www.philamuseum.org/images/cad/large/1981-68-1-neh.jpg","c. 1874","","","1 1/8 x 11 x 8 1/8 inches (2.9 x 27.9 x 20.6 cm)","","Yellow glass","","","","Pittsburgh","","Made by Adams and Company","Gift of Mrs. Richard W. Lloyd in honor of her father, Morgan Hebard, 1981"
"","","","Made in New York City, New York, United States, North and Central America","""Lotus"" Chair","http://www.philamuseum.org/images/cad/large/2007-186-34v1-cons.jpg","Designed 1958","","","30 x 23 1/2 x 22 inches (76.2 x 59.7 x 55.9 cm)","","Molded fiberglass, metal","","","","American","","Designed by Erwine Laverne","Gift of Jeanne S. Rymer, 2007"
"","","","Made in New York, United States, North and Central America","""Lily Chair""","http://www.philamuseum.org/images/cad/large/2007-186-21v1-cons.jpg","Designed 1957","","","36 1/2 x diam. 24 inches (92.7 x 61 cm)","","Molded Plexiglas, polyester upholstery","","","","American","","Designed by Erwine Laverne","Gift of Jeanne S. Rymer, 2007"
"","","","Made in Albany, New York, United States, North and Central America","Flask","http://www.philamuseum.org/images/cad/large/1938-23-184-ov.jpg","1847-50","","","Height: 7 inches (17.8 cm)","","Non-lead glass (olive)","","","","Albany","","Made by Albany Glass Works","The George H. Lorimer Collection, 1938"
"","","Eero Saarinen's ""Pedestal"" chair, introduced in 1957, was an instant success. This ""Champagne"" chair is one of the many variations on that design created in the late 1950s and 1960s.","Made in New York, United States, North and Central America","""Champagne"" Chair","http://www.philamuseum.org/images/cad/large/1971-1-1.jpg","Designed 1962","","","31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)","","Plexiglas, aluminum; upholstery","","","","American","","Designed by Erwine Laverne","Gift of Laverne International, 1971"
"","","","Photograph taken in Quebec, Gaspé, Canada, North and Central America","Boat Houses, Wolf River, Gaspé","http://www.philamuseum.org/images/cad/large/2009-160-678-pdp.jpg","1936 (negative); 1970s (print)","","","Image: 3 5/8 x 4 5/8 inches (9.2 x 11.7 cm)
Sheet: 5 3/4 x 7 5/16 inches (14.6 x 18.6 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Quebec, Gaspé, Canada, North and Central America","Boat Houses, Wolf River, Gaspé","http://www.philamuseum.org/images/cad/large/2009-160-677-pdp.jpg","1936 (negative); 1970s (print)","","","Image: 3 5/8 x 4 5/8 inches (9.2 x 11.7 cm)
Sheet: 5 11/16 x 6 3/4 inches (14.4 x 17.2 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Quebec, Gaspé, Canada, North and Central America","Boat House, Wolf River, Gaspé","http://www.philamuseum.org/images/cad/large/2009-160-676-pdp.jpg","1936 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet: 5 1/16 x 6 1/4 inches (12.9 x 15.9 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Quebec, Gaspé, Canada, North and Central America","Boat House, Wolf River, Gaspé","http://www.philamuseum.org/images/cad/large/2010-14-28-pma.jpg","1936 (negative); 1960s (print)","","","Image: 7 1/2 x 9 5/8 inches (19 x 24.5 cm)
Sheet: 7 15/16 x 9 7/8 inches (20.1 x 25.1 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Quebec, Gaspé, Canada, North and Central America","Boat House, Wolf River, Gaspé","http://www.philamuseum.org/images/cad/large/2009-160-675-pdp.jpg","1936 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet (at longest point): 11 x 14 inches (27.9 x 35.5 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Quebec, Gaspé, Canada, North and Central America","Boat House, Wolf River, Gaspé","http://www.philamuseum.org/images/cad/large/2009-160-674-pdp.jpg","1936 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet (at longest point): 11 x 14 inches (27.9 x 35.5 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Quebec, Gaspé, Canada, North and Central America","Boat House, Wolf River, Gaspé","http://www.philamuseum.org/images/cad/large/2009-160-673-pdp.jpg","1936 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 14.9 cm)
Sheet (at longest point): 11 x 14 inches (27.9 x 35.5 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America","Black Horse on the Beach, Percé, Gaspé","http://www.philamuseum.org/images/cad/large/1980-21-80-pdp.jpg","1929 (negative); 1960s (print)","","","Image (sight): 7 5/8 x 6 inches (19.4 x 15.2 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America","Beaching the Boat, Percé, Gaspé","http://www.philamuseum.org/images/cad/large/2010-14-20-pma.jpg","1929 (negative); 1960s (print)","","","Image and sheet: 3 7/8 x 6 1/2 inches (9.8 x 16.5 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America","Beaching the Boat, Percé, Gaspé","http://www.philamuseum.org/images/cad/large/2010-14-19-pma.jpg","1929 (negative); 1960s (print)","","","Image and sheet: 5 1/2 x 8 1/2 inches (13.9 x 21.6 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Percé, Percé, Quebec, Gaspé, Canada, North and Central America","Beach, Percé, Gaspé","http://www.philamuseum.org/images/cad/large/2009-160-16-pdp.jpg","1929 (negative); 1950s (print)","","","Image: 4 5/8 x 5 13/16 inches (11.8 x 14.7 cm)
Sheet: 4 15/16 x 7 inches (12.5 x 17.8 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Percé, Quebec, Gaspé, Canada, North and Central America","Beach, Percé, Gaspé","http://www.philamuseum.org/images/cad/large/2010-14-21-pma.jpg","1929 (negative); 1960s (print)","","","Image: 8 1/8 x 6 7/8 inches (20.6 x 17.4 cm)
Sheet: 8 1/4 x 7 inches (21 x 17.8 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","Interested in designing a stylish, inexpensive chair, Rashid borrowed the curves, open spaces, and translucent polypropylene material from his ""Garbo"" wastebasket to create ""Oh."" When introduced in January of 1999 at the price of forty-five dollars, the chair found a ready market; fifty thousand ""Oh"" chairs sold in the first three weeks of availability.","Made in Canada, North and Central America","""Oh"" Chair Prototype","http://www.philamuseum.org/images/cad/large/2000-155-1v1-pma.jpg","Designed 1998","","","34 x 24 x 24inches (86.4 x 61 x 61cm)
Height (to seat): 17 inches (43.2 cm)","","Polypropylene, powder-coated steel","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Totem Design Group, 2000"
"","","","Photograph taken in Louiseville, Quebec, Canada, North and Central America","Barns and Sheds, Louiseville, Quebec","http://www.philamuseum.org/images/cad/large/1980-21-79-pma.jpg","1936 (negative); 1960s (print)","","","Image (sight): 7 3/4 x 9 7/16 inches (19.7 x 24 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Made in Canada, North and Central America","""Gyro"" Wall Clock","http://www.philamuseum.org/images/cad/large/1999-107-1.jpg","1992","","","Diameter: 11 inches (27.9 cm)","","Spun aluminum","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Umbra, Ltd., 1999"
"","","Its name a blend of Hollywood and garbage, the sculptural, translucent ""Garbo"" wastebasket that Rashid designed for Umbra in 1995 has also been used variously as a clothes hamper, flower vase, and champagne cooler. For Rashid, its highly tactile polypropylene material proved an excellent medium in which to explore ideas of dematerialization. ""You feel in a sense that there is very little there,"" he said of Garbo, ""yet it is so flexible that basically it's indestructible.""","Made in Canada, North and Central America","""Garbo"" Can","http://www.philamuseum.org/images/cad/large/1999-107-3-neh.jpg","Designed 1995","","","17 x 13 x 13 1/2 inches (43.2 x 33 x 34.3 cm)","","Molded high-impact virgin polypropylene","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Umbra, Ltd., 1999"
"","","","Made in Canada, North and Central America","""Garbino"" Can","http://www.philamuseum.org/images/cad/large/1999-107-4-pma.jpg","Designed 1996","","","13 x 10 x 10 1/2 inches (33 x 25.4 x 26.7 cm)","","Molded polypropylene","","","","Canadian(bornEgypt)","","Designed by Karim Rashid","Gift of Umbra, Ltd., 1999"
"","","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art in honor of Neil Sandvold and partial gift of Gary Kalpakjian, 2001","Made in United States, North and Central America","Pair of Andirons","http://www.philamuseum.org/images/cad/large/2001-68-1a,b.jpg","1989-90","","","32 x 21 x 23 inches (81.3 x 53.3 x 58.4 cm)","","Wrought iron","","","","American","","Designed by Robert Venturi","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art in honor of Neil Sandvold and partial gift of Gary Kalpakjian, 2001"
