"artist_URI","description","object_uri","Artwork_Title","image_url","birth_date","death_date","date","dimensions_inch","medium_uri","medium","Nationality_URI","nationality","artist_appellation_uri","name","credit_line"
"","NA","","Street-Cuernavaca","http://emuseum.huntington.org/internal/media/dispatcher/27912/resize:format$003dfull","1860","1935","ca. 1885-1932","14 1/8 x 9 3/4","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Study for Gassed","http://emuseum.huntington.org/internal/media/dispatcher/18040/resize:format$003dfull","1856","1925","ca. 1918-1919","18 3/4 x 24 3/8","","charcoal and stump on paper","","American","","John Singer Sargent","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Study for Reception in Miami","http://emuseum.huntington.org/internal/media/dispatcher/18152/resize:format$003dfull","1915","NA","n.d.","8 1/4 x 10","","pen and brown ink on board","","American","","Jack Levine","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Donald M. Treiman in memory of his mother, Joyce Treiman"
"","NA","","Study for Spring Turning","http://emuseum.huntington.org/internal/media/dispatcher/725/resize:format$003dfull","1891","1942","ca. 1936","17 1/2 x 39 3/4","","charcoal, chalk, and graphite, heightened with white, on paper","","American","","Grant Wood","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation"
"","NA","","Study for the Butcher Shop","http://emuseum.huntington.org/internal/media/dispatcher/28325/resize:format$003dfull","1890","1972","ca. 1940","15 1/2 x 13 1/4","","charcoal on wove paper","","American","","Alexander Zerdin Kruse","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Kruse family trust"
"","NA","","Study for the Landing of Columbus","http://emuseum.huntington.org/internal/media/dispatcher/20421/resize:format$003dfull","1775","1852","early 1840's","23 x 18 1/4","","charcoal and white chalk on paper","","American","","John Vanderlyn","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Study for the Siege and Relief of Gibraltar","http://emuseum.huntington.org/internal/media/dispatcher/4918/resize:format$003dfull","1738","1815","n.d.","12 1/2 x 19 1/8","","black and white chalk on blue paper","","American","","John Singleton Copley","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Study for the Witch","http://emuseum.huntington.org/internal/media/dispatcher/16228/resize:format$003dfull","1836","1923","n.d.","9 1/2 x 6 1/4","","black crayon and white chalk on paper","","American","","Elihu Vedder","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Study of a Native American","http://emuseum.huntington.org/internal/media/dispatcher/16158/resize:format$003dfull","1852","1944","n.d.","10 x 7","","watercolor and graphite on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Study of a Soldier","http://emuseum.huntington.org/internal/media/dispatcher/18041/resize:format$003dfull","1899","1976","1919","19 x 13 3/4","","gouache and graphite on paper","","American","","Cyros Leroy Baldridge","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Study of a Soldier","http://emuseum.huntington.org/internal/media/dispatcher/18042/resize:format$003dfull","1899","1976","1919","23 1/2 x 14","","gouache and graphite on board","","American","","Cyros Leroy Baldridge","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Study of Broken Umbrella","http://emuseum.huntington.org/internal/media/dispatcher/30371/resize:format$003dfull","1935","NA","1984","sheet: 9 1/2 x 11","","graphite on paper","","American","","Joe Price","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints"
"","NA","","Study of Classical Ruins","http://emuseum.huntington.org/internal/media/dispatcher/16133/resize:format$003dfull","1852","1944","n.d.","12 3/8 x 8 1/4","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Study of Freight Ships","http://emuseum.huntington.org/internal/media/dispatcher/16136/resize:format$003dfull","1852","1944","n.d.","8 5/8 x 12 3/8","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Study of Gothic Ruins","http://emuseum.huntington.org/internal/media/dispatcher/16140/resize:format$003dfull","1852","1944","n.d.","12 3/8 x 8 5/8","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Study of Man ""Gardian [sic] of the Pope""","http://emuseum.huntington.org/internal/media/dispatcher/18186/resize:format$003dfull","1811","1893","ca. 1840-1843","NA","","pen and brown ink on board","","American","","John William Casilear","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Study of Shells","http://emuseum.huntington.org/internal/media/dispatcher/27250/resize:format$003dfull","1877","1943","n.d.","10 5/8 x 13 1/2","","pen and ink","","American","","Marsden Hartley","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Donald Treiman in memory of Roger Hong, AIA"
"","NA","","Study of Tree Roots","http://emuseum.huntington.org/internal/media/dispatcher/18089/resize:format$003dfull","1816","1868","n.d.","4 1/2 x 7 1/2","","watercolor and graphite on paper","","Germany-USA","","Emanuel Gottlieb Leutze","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Study of Verrochio's Equestrian Statue of Colleoni, Venice","http://emuseum.huntington.org/internal/media/dispatcher/16139/resize:format$003dfull","1852","1944","n.d.","12 3/8 x 8 5/8","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Study of White Table Top","http://emuseum.huntington.org/internal/media/dispatcher/30368/resize:format$003dfull","1935","NA","1980","sheet: 8 x 7 1/2","","graphite on paper","","American","","Joe Price","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints"
"","NA","","Study of White Table Top","http://emuseum.huntington.org/internal/media/dispatcher/30369/resize:format$003dfull","1935","NA","1980","sheet: 8 x 7 1/2","","watercolor and ink on paper","","American","","Joe Price","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints"
"","NA","","Study of Woman from Side","http://emuseum.huntington.org/internal/media/dispatcher/18194/resize:format$003dfull","1811","1893","ca. 1840-1843","NA","","graphite and watercolor on paper","","American","","John William Casilear","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Suggestion for a Float in the Woman's Suffrage Parade","http://emuseum.huntington.org/internal/media/dispatcher/30893/resize:format$003dfull","NA","NA","ca. 1913","overall: 10 3/4 x 12 1/4","","crayon drawing on laid paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Catherine E. Burns"
"","NA","","Sun-dappled Oaks","http://emuseum.huntington.org/internal/media/dispatcher/28258/resize:format$003dfull","1869","1952","ca. 1930","9 7/8 x 13 7/8","","watercolor on paper mounted on board","","American","","Percy Gray","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of the Whitton Collection in Honor of Jessica Todd Smith"
"","NA","","Sunday Mass, Trinity Church","http://emuseum.huntington.org/internal/media/dispatcher/18036/resize:format$003dfull","NA","NA","n.d.","19 1/2 x 13 1/2","","watercolor en grisaille on paper","","American","","W. P. Snyder","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Sylvan Scene","http://emuseum.huntington.org/internal/media/dispatcher/16114/resize:format$003dfull","1825","1894","ca. 1880-1885","15 x 10 1/2","","watercolor and gouache on paper","","American","","George Inness","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Tanks in Town","http://emuseum.huntington.org/internal/media/dispatcher/20462/resize:format$003dfull","1900","1979","n.d.","19 3/4 x 17 3/4","","watercolor, pen, ink and graphite on brown paper","","British","","Edward Ardizzone","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tantallon Castle, April 25, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20114/resize:format$003dfull","1846","1918","1908","5 5/8 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tehuacan","http://emuseum.huntington.org/internal/media/dispatcher/27907/resize:format$003dfull","1860","1935","n.d.","11 3/8 x 8 1/8","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Tehuacan","http://emuseum.huntington.org/internal/media/dispatcher/27918/resize:format$003dfull","1860","1935","ca. 1885-1932","10 x 14 1/8","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Tenaya Cañon, from Glacier Point","http://emuseum.huntington.org/internal/media/dispatcher/28315/resize:format$003dfull","1833","1909","1871","9 x 6 1/4","","graphite heightened with Chinese white on paper","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","The Artist","http://emuseum.huntington.org/internal/media/dispatcher/28457/resize:format$003dfull","1867","1933","n.d.","23 5/16 x 17 3/4","","crayon on paper","","American","","George Benjamin Luks","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Fred Croton and Selma Holo in honor of George Boone"
"","NA","","The Attack of the Gun Boats upon Grand Gulf","http://emuseum.huntington.org/internal/media/dispatcher/18064/resize:format$003dfull","1840","1894","n.d.","5 7/8 x 9 3/8","","graphite and chinese white on brown paper","","American","","Theodore Russell Davis","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","The Barricade","http://emuseum.huntington.org/internal/media/dispatcher/16262/resize:format$003dfull","1839","1925","n.d.","7 1/4 x 9 1/4","","ink on paper","","American","","David Edward Cronin","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","The Bridge and Swimming Hole, Woodstock","http://emuseum.huntington.org/internal/media/dispatcher/10843/resize:format$003dfull","1882","1925","ca. 1920","9 x 11","","conté crayon on paper","","American","","George Wesley Bellows","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Donald M. Treiman in memory of his mother, Joyce Treiman"
"","NA","","The Dancer","http://emuseum.huntington.org/internal/media/dispatcher/30272/resize:format$003dfull","1908","1978","n.d.","10 1/2 x 8 7/8","","ink and gouache on paper","","American","","Don Freeman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","The Forum, Rome","http://emuseum.huntington.org/internal/media/dispatcher/17962/resize:format$003dfull","1887","1945","n.d.","NA","","watercolor and chalk on paper","","American","","Rowena Fischer Meeks Abdy","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Michael F. Williams"
"","NA","","The Hill of the Alhambra","http://emuseum.huntington.org/internal/media/dispatcher/18028/resize:format$003dfull","1832","1920","n.d.","10 1/8 x 11 1/2","","black ink on board","","American","","Samuel Colman","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","The Home Thrust","http://emuseum.huntington.org/internal/media/dispatcher/20469/resize:format$003dfull","1819","1889","1862","NA","","graphite on paper","","American","","James Walker","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","The Hulk of the Hartford","http://emuseum.huntington.org/internal/media/dispatcher/17977/resize:format$003dfull","1852","1944","1894","10 x 14","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","The Narrows, N. Y. The Sea Over Coney Island. Forts Hamilton and Lafayette","http://emuseum.huntington.org/internal/media/dispatcher/16188/resize:format$003dfull","NA","NA","1830","3 9/16 x 5","","watercolor and graphite on paper","","NA","","Unknown, American, 19th Century","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","The Oury House in Tucson, Arizona","http://emuseum.huntington.org/internal/media/dispatcher/20157/resize:format$003dfull","1846","1918","n.d.","6 1/4 x 9 1/2","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Jane Hemphill"
"","NA","","The Queen","http://emuseum.huntington.org/internal/media/dispatcher/1029/resize:format$003dfull","1852","1911","1896","25 1/2 x 18 3/4","","pastel on paper","","American","","Edwin Austin Abbey","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","The Rillito near Fort Lowell Tucson Mountains in the Distance","http://emuseum.huntington.org/internal/media/dispatcher/28487/resize:format$003dfull","1846","1918","1905","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","The Seat, Los Gatos","http://emuseum.huntington.org/internal/media/dispatcher/16141/resize:format$003dfull","1852","1944","ca. 1923","9 15/16 x 6 15/16","","black crayon on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","The Seat, Los Gatos","http://emuseum.huntington.org/internal/media/dispatcher/16142/resize:format$003dfull","1852","1944","ca. 1923","9 15/16 x 7","","black crayon on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","The Seat, Los Gatos","http://emuseum.huntington.org/internal/media/dispatcher/17969/resize:format$003dfull","1852","1944","1923","13 7/8 x 9 15/16","","black crayon on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","The Soldier's Return","http://emuseum.huntington.org/internal/media/dispatcher/18044/resize:format$003dfull","1826","1879","1863","6 1/4 x 9 3/8","","gray wash over graphite on paper","","American","","Christian Schussele","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","The Volcanoes, Popocatepetl and Ixtaccihuatl from the City of Puebla","http://emuseum.huntington.org/internal/media/dispatcher/27915/resize:format$003dfull","1860","1935","ca. 1885-1932","9 1/4 x 14 7/8","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","The Yo-Hamite Falls","http://emuseum.huntington.org/internal/media/dispatcher/17996/resize:format$003dfull","ca.1816","1858","1855","20 1/4 x 14","","chalk on paper mounted on board","","American","","Thomas Almond Ayres","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","There are Just a Few","http://emuseum.huntington.org/internal/media/dispatcher/31600/resize:format$003dfull","1908","1978","1950","11 1/2 x 14 3/8","","ink and crayon","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Thirteen Studies of Leaf Arrangements","http://emuseum.huntington.org/internal/media/dispatcher/20159/resize:format$003dfull","1846","1918","n.d.","5 1/4 x 7 5/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Thirty Four Heads in Profile, Two Full-length Male Figures, and a Three Quarter Length Portrait of a Man in Profile","http://emuseum.huntington.org/internal/media/dispatcher/17953/resize:format$003dfull","1779","1843","ca. 1798-1799","11 x 17","","graphite and ink on wove paper","","American","","Washington Allston","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Thistle and Mullen","http://emuseum.huntington.org/internal/media/dispatcher/16218/resize:format$003dfull","1819","1895","n.d.","5 x 6 3/4","","graphite on paper","","American","","Charles Lanman","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Three Apples and a Branch","http://emuseum.huntington.org/internal/media/dispatcher/16113/resize:format$003dfull","1779","1843","ca. 1796-1800","6 3/4 x 7 7/8","","black chalk on wove paper","","American","","Washington Allston","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Three Figures","http://emuseum.huntington.org/internal/media/dispatcher/18147/resize:format$003dfull","1829","1879","n.d.","6 1/2 x 7 1/8","","watercolor on paper","","American","","Alfred Sully","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Three Generations","http://emuseum.huntington.org/internal/media/dispatcher/20470/resize:format$003dfull","1908","NA","1937","15 x 11 1/2","","color pencil on paper","","American","","Helen Lundeberg","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Throw up Your Hands!","http://emuseum.huntington.org/internal/media/dispatcher/18038/resize:format$003dfull","1875","1933","n.d.","20 1/2 x 13","","gouache, watercolor and Chinese white en grisaille on board","","American","","Frederick Coffay Yohn","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tintern Abbey","http://emuseum.huntington.org/internal/media/dispatcher/16194/resize:format$003dfull","1816","1872","1841","10 1/8 x 13 1/2","","graphite on paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Title Page for the Nativity","http://emuseum.huntington.org/internal/media/dispatcher/20465/resize:format$003dfull","NA","NA","n.d.","15 1/2 x 12 1/4","","pen and ink on board","","NA","","American School","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Top Man [study]","http://emuseum.huntington.org/internal/media/dispatcher/20193/resize:format$003dfull","1880","1949","1931","22 x 11","","watercolor and graphite on paper","","American","","Walt Kuhn","The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds fom Francis Brody, Kelvin Davis, and the Virginia Steele Scott Foundation"
"","NA","","Towards Popocatépetl View from Malcolm and Jan Lowry's Villa, Cuernavaca","http://emuseum.huntington.org/internal/media/dispatcher/17954/resize:format$003dfull","1907","NA","1937","8 5/8 x 11 5/8","","watercolor on paper","","American","","Mary Hoover Aiken","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Tree and Leaf Studies","http://emuseum.huntington.org/internal/media/dispatcher/18084/resize:format$003dfull","act. 1843","1854","n.d.","5 1/2 x 5 3/4","","watercolor and graphite on paper","","American","","Philip Harry","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree and Leaf Studies","http://emuseum.huntington.org/internal/media/dispatcher/18085/resize:format$003dfull","act. 1843","1854","n.d.","5 1/2 x 5 3/4","","watercolor and graphite on paper","","American","","Philip Harry","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree and Leaf Studies","http://emuseum.huntington.org/internal/media/dispatcher/18086/resize:format$003dfull","act. 1843","1854","n.d.","7 5/8 x 4 1/4","","graphite on paper","","American","","Philip Harry","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree and Leaf Study","http://emuseum.huntington.org/internal/media/dispatcher/18087/resize:format$003dfull","1822","1897","n.d.","7 7/8 x 9","","watercolor and graphite on paper","","American","","Carl Jacob Hamilton Weiss","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree and Leaf Study","http://emuseum.huntington.org/internal/media/dispatcher/18088/resize:format$003dfull","1822","1897","n.d.","5 5/8 x 7 3/8","","watercolor and graphite on paper","","American","","Carl Jacob Hamilton Weiss","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree on a Riverbank","http://emuseum.huntington.org/internal/media/dispatcher/20170/resize:format$003dfull","1846","1918","n.d.","6 3/4 x 8 7/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree Roots","http://emuseum.huntington.org/internal/media/dispatcher/18090/resize:format$003dfull","1845","1898","n.d.","9 1/8 x 12 3/8","","graphite on paper matted on gray paper","","German","","Albert Richter","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree Study","http://emuseum.huntington.org/internal/media/dispatcher/16221/resize:format$003dfull","1834","1910","1879","10 1/4 x 8","","charcoal with white chalk on gray paper","","American","","August Will","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree Study","http://emuseum.huntington.org/internal/media/dispatcher/18026/resize:format$003dfull","1834","1910","1876","12 3/4 x 10","","charcoal with white chalk on gray paper","","American","","August Will","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree Study, Aricia","http://emuseum.huntington.org/internal/media/dispatcher/16201/resize:format$003dfull","1816","1872","1846","11 1/4 x 16 1/8","","graphite on buff paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tree Trunk","http://emuseum.huntington.org/internal/media/dispatcher/20172/resize:format$003dfull","1846","1918","n.d.","7 3/16 x 5 1/2","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tucson, Arizona in 1852 from the Southwest, April 20, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20146/resize:format$003dfull","1846","1918","1910","4 3/8 x 7 1/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Tucson, Arizona in 1895 from the West, May 28, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20128/resize:format$003dfull","1846","1918","5/28/1909","4 9/16 x 7 3/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Tugboat","http://emuseum.huntington.org/internal/media/dispatcher/27247/resize:format$003dfull","1906","1970","n.d.","4 1/2 x 6 1/2","","watercolor on paper","","American","","Cecil Crosley Bell","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Donald Treiman in memory of his father, Kenneth Treiman"
"","NA","","Two Bums Talking","http://emuseum.huntington.org/internal/media/dispatcher/28005/resize:format$003dfull","1855","1929","n.d.","18 x 14","","ink on paper","","American","","Charles Jay Taylor","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Two Cowboys and a Steer","http://emuseum.huntington.org/internal/media/dispatcher/26354/resize:format$003dfull","1872","1945","n.d.","8 1/2 x 14","","India ink on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Two Men by a Crypt in a Wood","http://emuseum.huntington.org/internal/media/dispatcher/18045/resize:format$003dfull","NA","NA","n.d.","9 1/4 x 13 3/4","","pen, black ink, and gray wash heightened with white on a light brown paper","","NA","","Oskar Bessau","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Two Men Shaking Hands","http://emuseum.huntington.org/internal/media/dispatcher/28004/resize:format$003dfull","NA","NA","n.d.","13 x 14 3/4","","ink on paper","","American","","F. M. Hutchins","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Two Mounted Cowboys","http://emuseum.huntington.org/internal/media/dispatcher/26362/resize:format$003dfull","1872","1945","n.d.","8 1/2 x 14","","India ink on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Two Steers","http://emuseum.huntington.org/internal/media/dispatcher/26358/resize:format$003dfull","1872","1945","n.d.","8 9/16 x 11","","India ink on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Two Studies of the Head of an Old Man","http://emuseum.huntington.org/internal/media/dispatcher/20471/resize:format$003dfull","1877","1946","n.d.","9 1/8 x 11","","graphite on brown paper","","American","","Joseph Stella","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Kenneth Treiman"
"","NA","","Two Tigers","http://emuseum.huntington.org/internal/media/dispatcher/16193/resize:format$003dfull","1827","1860","1829","4 1/2 x 7 11/16","","graphite on paper","","American","","Henry Jackson Morton","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Two Women Beneath Tree","http://emuseum.huntington.org/internal/media/dispatcher/16192/resize:format$003dfull","1876","1949","n.d.","6 x 7 7/8","","graphite on paper","","American","","Alson Skinner Clark","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Two Women Talking on Street","http://emuseum.huntington.org/internal/media/dispatcher/27999/resize:format$003dfull","NA","NA","n.d.","20 x 24 1/8","","ink on paper","","American","","Samuel D. Ehrhart","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Two Young Men in an Interior","http://emuseum.huntington.org/internal/media/dispatcher/27996/resize:format$003dfull","NA","NA","n.d.","20 x 27","","ink on paper","","American","","Samuel D. Ehrhart","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","U.S.S. Independence Burning after a Bomb Explosion","http://emuseum.huntington.org/internal/media/dispatcher/17990/resize:format$003dfull","1890","1978","1946","15 x 20","","watercolor on paper","","American","","Arthur Edwaine Beaumont","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Geoffrey C. Beaumont"
"","NA","","Ulleswater, England, April 18, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20113/resize:format$003dfull","1846","1918","1908","5 5/8 x 7 7/16","","watercolor and graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Uma-pine, Cayuse Tribe, W.T.","http://emuseum.huntington.org/internal/media/dispatcher/16164/resize:format$003dfull","1852","1944","1878","12 1/2 x 8 5/8","","watercolor and graphite on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Umapine, a Cayuse Indian","http://emuseum.huntington.org/internal/media/dispatcher/16165/resize:format$003dfull","1852","1944","1878","12 3/16 x 7 1/16","","watercolor and graphite on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Untitled","http://emuseum.huntington.org/internal/media/dispatcher/18153/resize:format$003dfull","1915","NA","n.d.","11 x 8 3/4","","graphite on tan paper","","American","","Jack Levine","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Donald M. Treiman in memory of his mother, Joyce Treiman"
"","NA","","Untitled","http://emuseum.huntington.org/internal/media/dispatcher/28075/resize:format$003dfull","1880","1960","1942","14 x 17","","crayon and ink on paper","","American","","Hans Hofmann","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Ameringer-Howard Foundation"
"","NA","","Untitled","http://emuseum.huntington.org/internal/media/dispatcher/27937/resize:format$003dfull","1860","1935","ca. 1891","5 3/4 x 10","","watercolor on paper mounted on board","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Untitled","http://emuseum.huntington.org/internal/media/dispatcher/16137/resize:format$003dfull","1852","1944","n.d.","12 3/8 x 8 5/8","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
